id,total,profit,pharmacy_id,pharmacist_id,created_at,day,date,year,year_month_value,week_of_month
56,637.58,161.46,103,209,2026-04-23T17:25:05,23,2026-04-23,2026,2026-04,4
57,303.37,89.66,102,202,2026-06-15T10:47:08,15,2026-06-15,2026,2026-06,3
58,953.30,245.85,108,202,2025-10-09T10:16:43,9,2025-10-09,2025,2025-10,2
59,80.88,27.03,110,218,2025-02-12T08:30:59,12,2025-02-12,2025,2025-02,3
60,603.57,183.05,103,210,2025-08-04T18:24:55,4,2025-08-04,2025,2025-08,2
61,460.38,133.03,108,223,2026-03-02T16:48:55,2,2026-03-02,2026,2026-03,2
62,28.22,7.25,104,205,2025-09-11T10:33:52,11,2025-09-11,2025,2025-09,2
63,328.82,102.90,113,221,2026-03-05T12:31:10,5,2026-03-05,2026,2026-03,2
64,80.62,22.66,109,228,2025-11-12T17:03:15,12,2025-11-12,2025,2025-11,3
65,327.78,90.66,115,225,2025-08-09T18:37:10,9,2025-08-09,2025,2025-08,2
66,36.36,10.64,112,216,2026-02-17T14:39:42,17,2026-02-17,2026,2026-02,4
67,181.36,60.36,106,204,2026-07-21T13:15:13,21,2026-07-21,2026,2026-07,4
68,139.44,52.60,112,228,2025-05-02T10:20:32,2,2025-05-02,2025,2025-05,1
69,244.61,67.99,112,201,2026-01-10T10:37:34,10,2026-01-10,2026,2026-01,2
70,436.25,99.93,107,219,2026-06-16T16:19:09,16,2026-06-16,2026,2026-06,3
71,677.90,218.20,109,210,2025-11-03T18:48:30,3,2025-11-03,2025,2025-11,2
72,214.85,80.25,103,216,2025-11-12T19:27:19,12,2025-11-12,2025,2025-11,3
73,685.86,158.69,120,216,2025-08-22T08:56:05,22,2025-08-22,2025,2025-08,4
74,816.58,265.50,106,215,2025-07-28T15:28:14,28,2025-07-28,2025,2025-07,5
75,638.13,195.53,118,211,2025-09-28T19:06:21,28,2025-09-28,2025,2025-09,4
76,295.65,75.65,108,206,2025-10-08T13:14:20,8,2025-10-08,2025,2025-10,2
77,400.41,118.18,106,202,2025-12-20T10:39:59,20,2025-12-20,2025,2025-12,3
78,321.35,73.20,115,209,2025-10-06T10:29:56,6,2025-10-06,2025,2025-10,2
79,72.52,15.55,113,228,2026-06-28T12:06:29,28,2026-06-28,2026,2026-06,4
80,807.01,186.67,109,216,2025-06-11T15:24:27,11,2025-06-11,2025,2025-06,3
81,272.16,59.12,118,204,2026-03-04T11:12:00,4,2026-03-04,2026,2026-03,2
82,151.32,30.48,108,227,2025-10-24T08:40:55,24,2025-10-24,2025,2025-10,4
83,516.34,134.63,111,203,2025-10-19T16:16:16,19,2025-10-19,2025,2025-10,3
84,255.99,67.30,102,213,2026-02-20T15:47:09,20,2026-02-20,2026,2026-02,4
85,171.87,54.75,108,216,2025-11-06T18:36:12,6,2025-11-06,2025,2025-11,2
86,418.03,112.95,102,203,2025-05-02T16:28:20,2,2025-05-02,2025,2025-05,1
87,1073.70,312.94,111,219,2026-05-05T10:47:19,5,2026-05-05,2026,2026-05,2
88,71.30,25.71,113,221,2025-03-21T18:16:13,21,2025-03-21,2025,2025-03,4
89,344.78,93.71,109,222,2026-07-04T10:43:40,4,2026-07-04,2026,2026-07,1
90,441.27,128.62,103,202,2026-04-02T09:00:46,2,2026-04-02,2026,2026-04,1
91,83.89,23.02,107,205,2025-03-07T17:51:05,7,2025-03-07,2025,2025-03,2
92,752.91,219.48,119,205,2026-02-23T11:16:35,23,2026-02-23,2026,2026-02,5
93,632.16,151.84,111,226,2026-01-20T09:27:39,20,2026-01-20,2026,2026-01,4
94,573.10,152.96,107,219,2025-01-04T08:24:49,4,2025-01-04,2025,2025-01,1
95,714.14,228.07,116,210,2025-04-26T08:35:11,26,2025-04-26,2025,2025-04,4
96,90.62,21.56,113,203,2026-07-07T11:57:18,7,2026-07-07,2026,2026-07,2
97,576.08,183.36,115,208,2025-11-23T18:30:45,23,2025-11-23,2025,2025-11,4
98,636.38,188.93,105,204,2026-03-14T18:07:08,14,2026-03-14,2026,2026-03,3
99,190.05,50.05,109,218,2025-05-28T16:25:44,28,2025-05-28,2025,2025-05,5
100,101.01,31.83,105,225,2025-05-18T15:04:15,18,2025-05-18,2025,2025-05,3
101,815.62,171.05,108,214,2025-02-22T12:53:13,22,2025-02-22,2025,2025-02,4
102,473.75,107.09,118,220,2025-05-01T16:43:06,1,2025-05-01,2025,2025-05,1
103,363.77,100.94,118,220,2026-07-01T19:48:34,1,2026-07-01,2026,2026-07,1
104,413.02,98.02,109,226,2025-02-16T18:14:25,16,2025-02-16,2025,2025-02,3
105,1300.05,346.24,119,220,2025-12-04T12:11:14,4,2025-12-04,2025,2025-12,1
106,493.28,170.51,114,208,2026-07-14T16:53:22,14,2026-07-14,2026,2026-07,3
107,441.65,95.32,119,225,2025-02-19T08:06:58,19,2025-02-19,2025,2025-02,4
108,47.35,11.12,113,217,2026-07-19T15:29:17,19,2026-07-19,2026,2026-07,3
109,474.39,133.23,112,213,2025-01-18T17:08:33,18,2025-01-18,2025,2025-01,3
110,37.42,9.56,108,215,2025-11-04T09:28:03,4,2025-11-04,2025,2025-11,2
111,112.26,31.44,105,230,2025-02-27T19:35:29,27,2025-02-27,2025,2025-02,5
112,392.65,88.70,117,215,2025-12-06T18:18:03,6,2025-12-06,2025,2025-12,1
113,59.75,14.11,116,210,2026-05-02T12:56:06,2,2026-05-02,2026,2026-05,1
114,606.18,208.86,103,228,2025-02-03T11:15:54,3,2025-02-03,2025,2025-02,2
115,514.83,190.91,102,219,2026-07-08T14:02:20,8,2026-07-08,2026,2026-07,2
116,323.21,84.00,104,214,2025-12-01T08:32:21,1,2025-12-01,2025,2025-12,1
117,368.26,100.19,105,210,2025-03-17T09:29:36,17,2025-03-17,2025,2025-03,4
118,208.19,40.24,106,219,2025-10-04T09:51:39,4,2025-10-04,2025,2025-10,1
119,320.40,98.67,114,220,2026-07-22T09:41:39,22,2026-07-22,2026,2026-07,4
120,324.84,75.12,120,202,2025-05-23T12:53:43,23,2025-05-23,2025,2025-05,4
121,271.23,68.61,103,220,2026-05-23T18:48:35,23,2026-05-23,2026,2026-05,4
122,1429.48,354.67,113,224,2026-03-27T14:05:37,27,2026-03-27,2026,2026-03,5
123,1036.08,239.60,113,204,2025-09-06T13:55:57,6,2025-09-06,2025,2025-09,1
124,800.47,243.34,120,225,2025-03-12T15:26:53,12,2025-03-12,2025,2025-03,3
125,183.39,62.79,115,207,2026-03-05T17:53:48,5,2026-03-05,2026,2026-03,2
126,399.14,89.93,117,221,2025-03-29T09:59:27,29,2025-03-29,2025,2025-03,5
127,678.70,192.51,109,207,2026-02-14T14:02:11,14,2026-02-14,2026,2026-02,3
128,114.84,42.75,118,209,2025-01-26T16:47:18,26,2025-01-26,2025,2025-01,4
129,375.60,91.38,101,222,2025-05-26T14:20:28,26,2025-05-26,2025,2025-05,5
130,370.61,108.21,104,203,2025-04-28T08:24:40,28,2025-04-28,2025,2025-04,5
131,347.50,100.36,118,206,2025-07-08T11:23:35,8,2025-07-08,2025,2025-07,2
132,467.83,117.61,109,208,2026-01-10T13:56:03,10,2026-01-10,2026,2026-01,2
133,99.48,27.03,111,206,2026-02-06T18:41:09,6,2026-02-06,2026,2026-02,2
134,94.32,19.20,104,218,2025-11-01T19:11:10,1,2025-11-01,2025,2025-11,1
135,487.76,156.94,110,203,2025-04-30T11:19:56,30,2025-04-30,2025,2025-04,5
136,445.04,120.31,114,206,2026-07-23T11:02:15,23,2026-07-23,2026,2026-07,4
137,331.26,72.41,106,201,2026-03-02T16:04:48,2,2026-03-02,2026,2026-03,2
138,977.35,281.82,115,214,2025-10-02T17:53:13,2,2025-10-02,2025,2025-10,1
139,487.16,125.04,101,215,2025-02-03T16:11:13,3,2025-02-03,2025,2025-02,2
140,282.90,90.52,109,223,2025-06-19T19:13:00,19,2025-06-19,2025,2025-06,4
141,232.20,81.46,117,220,2025-11-28T13:19:38,28,2025-11-28,2025,2025-11,5
142,361.26,94.56,106,216,2025-05-16T12:32:42,16,2025-05-16,2025,2025-05,3
143,639.47,170.95,117,210,2026-03-01T14:49:47,1,2026-03-01,2026,2026-03,1
144,730.52,180.71,104,202,2026-01-02T09:09:10,2,2026-01-02,2026,2026-01,1
145,80.60,14.52,110,208,2026-04-16T08:17:47,16,2026-04-16,2026,2026-04,3
146,462.32,121.54,117,210,2025-07-27T10:24:05,27,2025-07-27,2025,2025-07,4
147,75.66,16.86,120,223,2025-08-28T15:48:50,28,2025-08-28,2025,2025-08,5
148,508.11,133.71,107,210,2025-05-16T18:48:27,16,2025-05-16,2025,2025-05,3
149,71.30,23.26,105,223,2025-05-16T16:41:46,16,2025-05-16,2025,2025-05,3
150,410.87,127.19,112,228,2025-04-16T13:42:15,16,2025-04-16,2025,2025-04,3
151,631.50,195.84,106,215,2026-03-27T14:23:35,27,2026-03-27,2026,2026-03,5
152,608.40,165.39,118,203,2025-05-24T10:14:31,24,2025-05-24,2025,2025-05,4
153,361.52,100.20,117,222,2025-07-30T17:25:31,30,2025-07-30,2025,2025-07,5
154,239.13,49.35,101,208,2025-03-14T17:37:01,14,2025-03-14,2025,2025-03,3
155,377.44,120.82,120,230,2026-03-07T14:39:07,7,2026-03-07,2026,2026-03,2
156,681.19,209.79,111,209,2025-03-03T15:14:41,3,2025-03-03,2025,2025-03,2
157,512.58,115.24,116,226,2026-06-08T11:41:56,8,2026-06-08,2026,2026-06,2
158,23.80,6.36,101,226,2026-03-24T12:20:39,24,2026-03-24,2026,2026-03,5
159,95.43,23.55,104,221,2025-02-26T13:37:49,26,2025-02-26,2025,2025-02,5
160,337.40,91.23,112,219,2025-09-23T11:02:22,23,2025-09-23,2025,2025-09,4
161,558.59,132.20,110,222,2025-03-20T17:01:55,20,2025-03-20,2025,2025-03,4
162,625.11,170.96,108,226,2025-09-08T08:50:13,8,2025-09-08,2025,2025-09,2
163,45.70,12.94,102,230,2025-05-03T17:08:21,3,2025-05-03,2025,2025-05,1
164,884.98,263.97,108,207,2026-02-15T09:15:17,15,2026-02-15,2026,2026-02,3
165,174.57,59.78,119,214,2025-07-20T17:56:59,20,2025-07-20,2025,2025-07,3
166,810.80,204.18,103,204,2025-12-10T08:01:35,10,2025-12-10,2025,2025-12,2
167,78.40,26.95,103,218,2025-03-28T18:34:21,28,2025-03-28,2025,2025-03,5
168,485.96,125.14,116,208,2025-03-05T15:55:07,5,2025-03-05,2025,2025-03,2
169,31.78,10.62,103,221,2025-10-06T12:15:09,6,2025-10-06,2025,2025-10,2
170,415.63,98.80,118,205,2025-06-09T09:55:24,9,2025-06-09,2025,2025-06,3
171,17.61,5.59,105,230,2026-04-20T12:49:27,20,2026-04-20,2026,2026-04,4
172,223.90,67.70,105,209,2025-02-11T11:54:51,11,2025-02-11,2025,2025-02,3
173,47.92,16.36,116,227,2026-07-24T18:00:52,24,2026-07-24,2026,2026-07,4
174,802.88,234.30,118,205,2025-05-14T11:36:24,14,2025-05-14,2025,2025-05,3
175,385.88,101.01,106,203,2025-05-06T08:46:38,6,2025-05-06,2025,2025-05,2
176,633.84,179.38,109,202,2025-09-09T19:47:00,9,2025-09-09,2025,2025-09,2
177,571.24,164.01,117,206,2026-07-11T08:21:19,11,2026-07-11,2026,2026-07,2
178,606.07,210.55,120,226,2026-04-29T17:38:16,29,2026-04-29,2026,2026-04,5
179,250.04,71.96,114,210,2026-02-02T14:27:32,2,2026-02-02,2026,2026-02,2
180,552.95,181.75,107,220,2025-12-27T18:20:01,27,2025-12-27,2025,2025-12,4
181,186.16,42.99,118,224,2025-02-27T12:14:05,27,2025-02-27,2025,2025-02,5
182,103.86,37.74,107,227,2025-11-28T09:05:03,28,2025-11-28,2025,2025-11,5
183,227.47,62.55,110,219,2025-04-24T17:34:51,24,2025-04-24,2025,2025-04,4
184,309.92,93.99,113,230,2026-05-14T19:49:04,14,2026-05-14,2026,2026-05,3
185,268.56,66.02,112,210,2025-07-01T08:01:57,1,2025-07-01,2025,2025-07,1
186,65.31,20.82,115,215,2025-12-10T16:07:50,10,2025-12-10,2025,2025-12,2
187,35.87,11.71,117,204,2025-09-20T09:58:00,20,2025-09-20,2025,2025-09,3
188,505.54,146.39,115,215,2026-02-28T16:58:34,28,2026-02-28,2026,2026-02,5
189,710.46,181.59,104,223,2025-12-17T11:05:48,17,2025-12-17,2025,2025-12,3
190,374.22,109.88,108,210,2025-12-06T11:44:30,6,2025-12-06,2025,2025-12,1
191,616.24,150.11,108,223,2025-04-09T08:54:12,9,2025-04-09,2025,2025-04,2
192,365.27,112.99,103,213,2026-04-30T10:06:09,30,2026-04-30,2026,2026-04,5
193,684.94,174.37,111,209,2026-03-27T16:27:58,27,2026-03-27,2026,2026-03,5
194,1264.18,389.92,101,217,2026-07-21T09:06:36,21,2026-07-21,2026,2026-07,4
195,404.77,118.08,119,218,2025-05-31T10:11:22,31,2025-05-31,2025,2025-05,5
196,537.42,165.25,118,216,2025-03-31T15:03:54,31,2025-03-31,2025,2025-03,5
197,223.20,79.47,108,215,2025-04-19T18:14:36,19,2025-04-19,2025,2025-04,3
198,511.10,129.27,119,203,2025-09-28T14:58:23,28,2025-09-28,2025,2025-09,4
199,415.62,125.40,108,220,2026-01-17T08:22:05,17,2026-01-17,2026,2026-01,3
200,80.68,29.26,101,202,2025-10-03T15:35:13,3,2025-10-03,2025,2025-10,1
201,356.06,74.37,103,229,2026-05-12T17:24:09,12,2026-05-12,2026,2026-05,3
202,36.16,9.12,102,214,2025-03-01T12:32:30,1,2025-03-01,2025,2025-03,1
203,469.46,152.70,108,224,2025-10-08T14:42:20,8,2025-10-08,2025,2025-10,2
204,35.88,12.60,103,211,2025-04-03T13:11:22,3,2025-04-03,2025,2025-04,1
205,203.41,67.78,102,220,2025-08-08T12:01:46,8,2025-08-08,2025,2025-08,2
206,274.17,97.86,111,209,2025-01-10T16:37:50,10,2025-01-10,2025,2025-01,2
207,694.60,201.13,103,201,2025-10-09T15:42:54,9,2025-10-09,2025,2025-10,2
208,252.21,77.70,117,203,2025-04-21T16:46:11,21,2025-04-21,2025,2025-04,4
209,262.87,68.69,108,208,2025-09-25T19:56:39,25,2025-09-25,2025,2025-09,4
210,737.78,221.66,109,222,2025-09-23T15:37:11,23,2025-09-23,2025,2025-09,4
211,544.86,124.11,116,227,2026-07-26T11:17:50,26,2026-07-26,2026,2026-07,4
212,168.18,49.06,107,228,2025-11-11T15:39:16,11,2025-11-11,2025,2025-11,3
213,162.72,57.12,118,219,2025-05-03T14:56:53,3,2025-05-03,2025,2025-05,1
214,646.94,152.99,105,219,2025-03-24T16:52:34,24,2025-03-24,2025,2025-03,5
215,601.86,187.96,119,201,2025-04-01T10:21:20,1,2025-04-01,2025,2025-04,1
216,225.42,66.12,119,225,2025-09-12T12:07:08,12,2025-09-12,2025,2025-09,2
217,290.45,83.79,116,222,2025-12-12T15:53:40,12,2025-12-12,2025,2025-12,2
218,729.59,158.12,108,227,2025-01-20T12:09:29,20,2025-01-20,2025,2025-01,4
219,441.71,133.37,116,209,2025-02-08T14:49:48,8,2025-02-08,2025,2025-02,2
220,551.39,139.58,114,219,2026-07-15T12:36:03,15,2026-07-15,2026,2026-07,3
221,44.82,13.53,107,202,2025-05-01T13:08:47,1,2025-05-01,2025,2025-05,1
222,407.36,93.45,104,225,2025-09-27T17:31:24,27,2025-09-27,2025,2025-09,4
223,58.73,21.22,104,225,2025-12-05T12:16:08,5,2025-12-05,2025,2025-12,1
224,55.00,17.85,114,206,2026-05-21T10:42:54,21,2026-05-21,2026,2026-05,4
225,316.84,67.55,112,216,2025-08-25T16:18:53,25,2025-08-25,2025,2025-08,5
226,472.98,126.90,114,217,2025-02-16T08:10:33,16,2025-02-16,2025,2025-02,3
227,148.08,40.16,114,221,2025-12-17T11:19:44,17,2025-12-17,2025,2025-12,3
228,53.88,16.48,115,215,2026-05-05T15:40:39,5,2026-05-05,2026,2026-05,2
229,345.12,108.69,102,230,2026-03-25T11:17:59,25,2026-03-25,2026,2026-03,5
230,231.76,53.24,104,209,2025-08-18T14:09:30,18,2025-08-18,2025,2025-08,4
231,56.47,11.94,102,206,2026-01-30T10:42:22,30,2026-01-30,2026,2026-01,5
232,122.60,30.20,113,219,2026-05-23T11:00:39,23,2026-05-23,2026,2026-05,4
233,324.08,87.80,111,214,2025-02-21T17:13:42,21,2025-02-21,2025,2025-02,4
234,361.76,120.82,104,221,2025-04-01T17:04:26,1,2025-04-01,2025,2025-04,1
235,490.56,128.57,108,227,2025-07-31T19:54:59,31,2025-07-31,2025,2025-07,5
236,549.02,157.74,107,216,2025-12-16T14:27:54,16,2025-12-16,2025,2025-12,3
237,667.30,228.86,107,203,2025-07-12T10:11:53,12,2025-07-12,2025,2025-07,2
238,399.10,138.80,118,216,2026-05-26T08:04:44,26,2026-05-26,2026,2026-05,5
239,688.77,149.89,115,212,2026-06-05T11:13:33,5,2026-06-05,2026,2026-06,1
240,388.01,85.09,105,214,2026-03-05T19:05:11,5,2026-03-05,2026,2026-03,2
241,663.36,174.35,114,211,2026-06-09T13:26:29,9,2026-06-09,2026,2026-06,2
242,727.61,236.24,106,211,2025-07-02T17:10:23,2,2025-07-02,2025,2025-07,1
243,35.47,6.76,109,222,2026-03-09T08:13:56,9,2026-03-09,2026,2026-03,3
244,585.51,127.23,115,204,2025-07-24T12:51:36,24,2025-07-24,2025,2025-07,4
245,870.73,297.35,108,228,2025-02-03T14:31:46,3,2025-02-03,2025,2025-02,2
246,64.49,14.23,103,206,2026-03-03T13:41:30,3,2026-03-03,2026,2026-03,2
247,802.25,215.45,115,211,2026-03-30T12:06:21,30,2026-03-30,2026,2026-03,5
248,548.09,140.44,118,214,2026-06-11T10:10:21,11,2026-06-11,2026,2026-06,2
249,354.82,98.47,104,223,2025-11-05T16:55:48,5,2025-11-05,2025,2025-11,2
250,372.98,123.45,102,216,2025-08-15T11:53:02,15,2025-08-15,2025,2025-08,3
251,161.72,47.71,118,210,2025-09-04T19:41:31,4,2025-09-04,2025,2025-09,1
252,742.83,210.09,101,222,2026-06-14T14:49:33,14,2026-06-14,2026,2026-06,2
253,583.38,210.28,103,213,2026-03-11T09:53:30,11,2026-03-11,2026,2026-03,3
254,706.24,172.64,108,227,2025-06-07T08:25:56,7,2025-06-07,2025,2025-06,2
255,375.72,72.36,106,225,2025-05-02T17:44:10,2,2025-05-02,2025,2025-05,1
256,273.49,88.32,114,218,2025-02-16T09:19:17,16,2025-02-16,2025,2025-02,3
257,374.91,95.18,116,202,2025-06-10T17:42:41,10,2025-06-10,2025,2025-06,3
258,252.34,50.51,116,215,2026-01-18T08:12:10,18,2026-01-18,2026,2026-01,3
259,874.28,211.69,107,203,2025-12-19T11:51:16,19,2025-12-19,2025,2025-12,3
260,126.10,34.98,113,211,2025-03-10T12:33:49,10,2025-03-10,2025,2025-03,3
261,159.42,37.73,102,209,2026-01-01T10:20:02,1,2026-01-01,2026,2026-01,1
262,262.53,88.48,106,211,2025-11-10T18:38:04,10,2025-11-10,2025,2025-11,3
263,349.81,104.88,113,204,2026-03-23T13:02:12,23,2026-03-23,2026,2026-03,5
264,267.41,85.04,101,225,2025-10-15T10:32:55,15,2025-10-15,2025,2025-10,3
265,879.54,222.00,113,213,2025-02-01T18:35:34,1,2025-02-01,2025,2025-02,1
266,136.44,24.84,109,228,2026-05-29T17:17:30,29,2026-05-29,2026,2026-05,5
267,519.64,114.70,115,217,2025-06-19T17:21:34,19,2025-06-19,2025,2025-06,4
268,131.84,29.84,110,227,2026-05-11T14:31:54,11,2026-05-11,2026,2026-05,3
269,129.24,46.74,114,201,2026-01-14T12:15:36,14,2026-01-14,2026,2026-01,3
270,888.65,257.52,118,222,2026-02-02T16:33:00,2,2026-02-02,2026,2026-02,2
271,570.03,136.84,116,228,2025-03-21T17:24:20,21,2025-03-21,2025,2025-03,4
272,282.40,62.80,105,218,2025-06-19T12:11:12,19,2025-06-19,2025,2025-06,4
273,140.58,48.12,107,215,2025-06-11T14:35:38,11,2025-06-11,2025,2025-06,3
274,162.43,36.89,110,214,2025-04-27T16:45:56,27,2025-04-27,2025,2025-04,4
275,379.44,130.62,107,202,2026-06-14T15:22:51,14,2026-06-14,2026,2026-06,2
276,695.05,192.85,102,207,2025-08-10T16:10:38,10,2025-08-10,2025,2025-08,2
277,455.48,143.03,119,217,2025-03-12T12:11:01,12,2025-03-12,2025,2025-03,3
278,627.19,186.18,118,212,2025-05-01T09:41:47,1,2025-05-01,2025,2025-05,1
279,288.09,75.12,102,220,2025-04-11T15:44:44,11,2025-04-11,2025,2025-04,2
280,234.00,66.45,111,225,2025-07-13T08:05:58,13,2025-07-13,2025,2025-07,2
281,356.26,119.96,102,216,2025-07-30T13:45:02,30,2025-07-30,2025,2025-07,5
282,564.21,145.25,102,221,2025-07-03T14:44:22,3,2025-07-03,2025,2025-07,1
283,72.26,22.20,119,215,2026-07-18T19:10:40,18,2026-07-18,2026,2026-07,3
284,418.34,108.52,116,225,2025-05-29T16:35:11,29,2025-05-29,2025,2025-05,5
285,146.10,53.50,117,202,2026-05-22T15:59:28,22,2026-05-22,2026,2026-05,4
286,229.20,73.25,117,207,2025-10-20T11:32:42,20,2025-10-20,2025,2025-10,4
287,524.47,152.54,106,209,2025-06-23T08:39:23,23,2025-06-23,2025,2025-06,5
288,757.22,234.97,102,218,2025-03-12T09:38:29,12,2025-03-12,2025,2025-03,3
289,989.25,295.30,117,205,2025-09-25T11:11:11,25,2025-09-25,2025,2025-09,4
290,752.42,204.80,103,230,2025-09-07T14:11:00,7,2025-09-07,2025,2025-09,1
291,153.74,42.71,106,210,2025-09-27T12:31:09,27,2025-09-27,2025,2025-09,4
292,170.10,55.02,103,215,2025-07-14T17:05:02,14,2025-07-14,2025,2025-07,3
293,78.62,24.78,120,229,2025-12-31T10:50:23,31,2025-12-31,2025,2025-12,5
294,408.20,142.70,103,223,2026-05-20T19:10:27,20,2026-05-20,2026,2026-05,4
295,236.07,75.05,108,216,2025-11-19T16:57:46,19,2025-11-19,2025,2025-11,4
296,362.13,116.87,113,204,2025-02-03T17:08:50,3,2025-02-03,2025,2025-02,2
297,481.98,115.80,104,201,2025-04-14T13:55:27,14,2025-04-14,2025,2025-04,3
298,499.78,144.14,119,221,2026-01-17T14:38:45,17,2026-01-17,2026,2026-01,3
299,428.56,118.06,108,220,2025-01-10T11:12:54,10,2025-01-10,2025,2025-01,2
300,258.28,59.92,119,226,2025-09-18T16:40:30,18,2025-09-18,2025,2025-09,3
301,219.17,66.80,120,208,2026-07-28T18:08:55,28,2026-07-28,2026,2026-07,5
302,1042.17,286.79,102,223,2025-11-29T17:17:32,29,2025-11-29,2025,2025-11,5
