id,name,expired_date,purchase_price,selling_price,profit,quantity,batch_number,type,status,supplier_id,category_id,pharmacy_id,low,sold_quantity,active,in_stock
61,Azix 500mg,2025-07,160.78,207.55,46.77,55,MA-BATCH-35430,INJECTION,AVAILABLE,41,351,12,False,491,True,True
62,Aerius 5mg,2026-07,20.43,57.51,37.08,53,MA-BATCH-70140,SYRUP,AVAILABLE,260,287,386,False,305,True,True
63,Smecta,2026-10,51.94,63.16,11.22,112,MA-BATCH-68143,INJECTION,AVAILABLE,248,569,6,False,286,True,True
64,Doliprane 1000mg,2027-05,51.68,87.64,35.96,101,MA-BATCH-30483,CAPSULE,AVAILABLE,631,564,333,False,65,True,True
65,Aspegic 100mg,2026-08,130.32,147.36,17.04,57,MA-BATCH-30709,INJECTION,AVAILABLE,185,554,90,False,91,True,True
66,Magne B6,2026-06,162.64,174.12,11.48,99,MA-BATCH-16259,CAPSULE,AVAILABLE,577,440,61,False,74,True,True
67,Spasfon,2028-11,152.02,196.54,44.52,115,MA-BATCH-32497,INJECTION,AVAILABLE,171,567,312,False,192,True,True
68,Ventoline 100mcg,2027-01,176.24,213.59,37.35,67,MA-BATCH-10074,CREAM,AVAILABLE,560,446,309,False,427,True,True
69,Dafalgan 1g,2028-01,15.46,61.61,46.15,93,MA-BATCH-15845,CREAM,AVAILABLE,11,106,176,False,314,True,True
70,Azix 500mg,2027-05,22.67,37.91,15.24,19,MA-BATCH-41220,CREAM,AVAILABLE,34,287,266,False,287,True,True
71,Spasfon,2026-03,109.45,116.35,6.9,57,MA-BATCH-35221,SYRUP,AVAILABLE,212,178,7,False,500,True,True
72,Azix 500mg,2026-06,42.68,67.34,24.66,10,MA-BATCH-95455,CAPSULE,AVAILABLE,353,61,117,False,326,True,True
73,Rhinathiol,2027-06,160.98,178.42,17.44,86,MA-BATCH-99515,TABLET,AVAILABLE,232,415,517,False,426,True,True
74,Augmentin 1g,2026-04,106.47,142.28,35.81,53,MA-BATCH-31260,CAPSULE,AVAILABLE,253,404,168,False,313,True,True
75,Voltaren 50mg,2025-06,85.41,90.81,5.4,137,MA-BATCH-80564,DROPS,AVAILABLE,237,126,130,False,435,True,True
76,Azix 500mg,2025-03,174.38,194.2,19.82,69,MA-BATCH-85993,TABLET,AVAILABLE,455,342,403,False,170,True,True
77,Dafalgan 1g,2025-02,164.77,203.42,38.65,34,MA-BATCH-41814,INJECTION,AVAILABLE,412,203,78,False,256,True,True
78,Azix 500mg,2026-02,90.86,128.2,37.34,71,MA-BATCH-11951,INJECTION,AVAILABLE,187,610,275,False,338,True,True
79,Rhinathiol,2027-10,30.33,46.5,16.17,114,MA-BATCH-22817,CREAM,AVAILABLE,136,186,406,False,238,True,True
80,Aspegic 100mg,2027-04,27.54,45.14,17.6,123,MA-BATCH-62531,SYRUP,AVAILABLE,434,281,485,False,173,True,True
81,Doliprane 500mg,2027-07,39.94,91.86,51.92,102,MA-BATCH-28594,DROPS,AVAILABLE,27,436,124,False,239,True,True
82,Aspegic 100mg,2026-11,148.43,166.0,17.57,1,MA-BATCH-79867,CAPSULE,AVAILABLE,323,141,277,True,41,True,True
83,Augmentin 1g,2027-12,46.52,90.3,43.78,16,MA-BATCH-53498,CAPSULE,AVAILABLE,11,326,97,False,148,True,True
84,Augmentin 1g,2025-05,49.63,97.08,47.45,25,MA-BATCH-97318,TABLET,AVAILABLE,530,453,497,False,479,True,True
85,Dafalgan 1g,2028-10,112.56,152.63,40.07,66,MA-BATCH-59068,DROPS,AVAILABLE,258,135,158,False,57,True,True
86,Azix 500mg,2027-12,97.78,115.77,17.99,65,MA-BATCH-80739,TABLET,AVAILABLE,605,185,8,False,164,True,True
87,Magne B6,2028-08,142.32,173.89,31.57,10,MA-BATCH-60096,CREAM,AVAILABLE,204,214,241,False,397,True,True
88,Doliprane 500mg,2028-06,43.08,80.51,37.43,142,MA-BATCH-56919,CREAM,AVAILABLE,59,170,349,False,249,True,True
89,Azix 500mg,2027-01,133.21,174.81,41.6,110,MA-BATCH-78126,CAPSULE,AVAILABLE,652,516,368,False,386,True,True
90,Aspegic 100mg,2026-06,102.0,117.57,15.57,138,MA-BATCH-67310,DROPS,AVAILABLE,490,139,415,False,413,True,True
91,Dafalgan 1g,2028-08,43.36,89.04,45.68,68,MA-BATCH-96305,CREAM,AVAILABLE,173,372,313,False,483,True,True
92,Rhinathiol,2027-02,50.76,98.67,47.91,81,MA-BATCH-86756,INJECTION,AVAILABLE,173,569,163,False,98,True,True
93,Aspegic 100mg,2026-06,45.29,69.56,24.27,27,MA-BATCH-96990,DROPS,AVAILABLE,416,173,308,False,238,True,True
94,Magne B6,2027-03,43.4,71.02,27.62,150,MA-BATCH-11666,TABLET,AVAILABLE,174,167,252,False,482,True,True
95,Doliprane 1000mg,2026-10,60.13,80.94,20.81,146,MA-BATCH-11762,CREAM,AVAILABLE,671,428,404,False,97,True,True
96,Doliprane 1000mg,2028-07,152.19,181.58,29.39,34,MA-BATCH-44377,CAPSULE,AVAILABLE,54,595,370,False,230,True,True
97,Aspegic 100mg,2025-01,47.04,55.71,8.67,72,MA-BATCH-40356,CREAM,AVAILABLE,77,52,87,False,304,True,True
98,Dafalgan 1g,2026-03,51.23,76.62,25.39,51,MA-BATCH-49043,INJECTION,AVAILABLE,96,89,228,False,205,True,True
99,Dafalgan 1g,2025-09,155.61,198.83,43.22,107,MA-BATCH-70477,INJECTION,AVAILABLE,675,39,329,False,214,True,True
100,Paracetamol Cooper,2025-08,61.36,72.46,11.1,107,MA-BATCH-27013,INJECTION,AVAILABLE,289,224,539,False,375,True,True
101,Ventoline 100mcg,2027-04,170.0,175.57,5.57,146,MA-BATCH-32736,SYRUP,AVAILABLE,278,434,93,False,237,True,True
102,Aerius 5mg,2025-04,151.32,192.57,41.25,57,MA-BATCH-35982,INJECTION,AVAILABLE,118,13,266,False,154,True,True
103,Aspegic 100mg,2026-04,132.57,190.64,58.07,76,MA-BATCH-22994,INJECTION,AVAILABLE,358,283,295,False,69,True,True
104,Magne B6,2028-08,166.04,181.85,15.81,45,MA-BATCH-60903,CREAM,AVAILABLE,371,489,431,False,467,True,True
105,Smecta,2027-10,166.57,173.31,6.74,53,MA-BATCH-33600,CREAM,AVAILABLE,47,285,439,False,424,True,True
106,Amoxil 500mg,2025-09,26.46,49.49,23.03,87,MA-BATCH-67852,TABLET,AVAILABLE,89,507,194,False,98,True,True
107,Augmentin 1g,2027-09,64.46,79.51,15.05,43,MA-BATCH-68365,CAPSULE,AVAILABLE,274,274,80,False,403,True,True
108,Rhinathiol,2028-06,96.87,113.92,17.05,88,MA-BATCH-35738,CREAM,AVAILABLE,399,587,262,False,239,True,True
109,Rhinathiol,2027-05,109.09,168.95,59.86,42,MA-BATCH-80263,CAPSULE,AVAILABLE,231,388,141,False,224,True,True
110,Amoxil 500mg,2026-04,107.3,114.58,7.28,119,MA-BATCH-66868,DROPS,AVAILABLE,273,65,13,False,500,True,True
111,Azix 500mg,2027-11,15.53,39.17,23.64,128,MA-BATCH-51019,INJECTION,AVAILABLE,275,179,94,False,210,True,True
112,Rhinathiol,2025-10,134.81,152.71,17.9,4,MA-BATCH-38884,INJECTION,AVAILABLE,547,80,269,True,354,True,True
113,Augmentin 1g,2025-05,85.51,107.27,21.76,105,MA-BATCH-69717,CREAM,AVAILABLE,536,269,283,False,118,True,True
114,Rhinathiol,2025-09,90.41,117.2,26.79,96,MA-BATCH-69162,DROPS,AVAILABLE,360,426,263,False,468,True,True
115,Amoxil 500mg,2026-07,83.33,114.03,30.7,99,MA-BATCH-18800,CAPSULE,AVAILABLE,675,305,90,False,275,True,True
116,Dafalgan 1g,2025-01,76.51,109.97,33.46,146,MA-BATCH-69350,INJECTION,AVAILABLE,171,591,113,False,15,True,True
117,Aerius 5mg,2028-11,143.22,165.16,21.94,10,MA-BATCH-83675,INJECTION,AVAILABLE,21,298,242,False,196,True,True
118,Augmentin 1g,2027-01,82.96,136.49,53.53,8,MA-BATCH-42503,INJECTION,AVAILABLE,274,436,522,False,135,True,True
119,Aerius 5mg,2026-01,49.86,76.66,26.8,112,MA-BATCH-63025,INJECTION,AVAILABLE,124,562,139,False,103,True,True
120,Voltaren 50mg,2027-02,136.26,164.39,28.13,121,MA-BATCH-12116,CREAM,AVAILABLE,463,521,520,False,230,True,True
121,Ventoline 100mcg,2025-07,69.3,101.93,32.63,84,MA-BATCH-36902,CREAM,AVAILABLE,425,210,312,False,358,True,True
122,Doliprane 1000mg,2028-07,149.18,192.48,43.3,128,MA-BATCH-51276,DROPS,AVAILABLE,331,23,310,False,302,True,True
123,Magne B6,2025-05,37.78,88.34,50.56,116,MA-BATCH-83535,INJECTION,AVAILABLE,80,559,412,False,359,True,True
124,Aerius 5mg,2026-03,134.34,140.98,6.64,100,MA-BATCH-18020,TABLET,AVAILABLE,412,167,16,False,252,True,True
125,Aerius 5mg,2026-09,46.62,96.15,49.53,148,MA-BATCH-90702,TABLET,AVAILABLE,581,550,164,False,261,True,True
126,Ventoline 100mcg,2026-04,34.8,48.27,13.47,82,MA-BATCH-21853,INJECTION,AVAILABLE,7,547,434,False,431,True,True
127,Smecta,2028-10,152.03,190.62,38.59,43,MA-BATCH-30674,TABLET,AVAILABLE,212,606,549,False,361,True,True
128,Smecta,2026-06,172.36,190.25,17.89,22,MA-BATCH-93851,CREAM,AVAILABLE,20,116,290,False,193,True,True
129,Paracetamol Cooper,2028-01,142.89,181.47,38.58,107,MA-BATCH-88487,SYRUP,AVAILABLE,66,349,450,False,107,True,True
130,Augmentin 1g,2026-05,15.33,34.55,19.22,135,MA-BATCH-83585,CREAM,AVAILABLE,285,252,56,False,367,True,True
131,Amoxil 500mg,2028-12,39.21,92.15,52.94,19,MA-BATCH-24633,INJECTION,AVAILABLE,483,515,6,False,207,True,True
132,Doliprane 500mg,2026-11,119.61,177.07,57.46,69,MA-BATCH-55054,DROPS,AVAILABLE,541,594,54,False,62,True,True
133,Amoxil 500mg,2026-11,77.64,129.44,51.8,148,MA-BATCH-22209,CAPSULE,AVAILABLE,2,205,460,False,406,True,True
134,Smecta,2028-11,22.65,53.83,31.18,39,MA-BATCH-15574,INJECTION,AVAILABLE,50,209,32,False,272,True,True
135,Paracetamol Cooper,2028-03,118.8,125.53,6.73,16,MA-BATCH-29689,CREAM,AVAILABLE,170,616,425,False,291,True,True
136,Spasfon,2027-09,43.69,96.55,52.86,75,MA-BATCH-13957,DROPS,AVAILABLE,20,469,151,False,274,True,True
137,Magne B6,2026-11,98.76,135.63,36.87,86,MA-BATCH-71201,DROPS,AVAILABLE,283,91,78,False,224,True,True
138,Dafalgan 1g,2028-02,104.07,132.33,28.26,28,MA-BATCH-71898,INJECTION,AVAILABLE,402,136,16,False,295,True,True
139,Doliprane 500mg,2026-10,20.46,32.8,12.34,4,MA-BATCH-69806,TABLET,AVAILABLE,651,180,432,True,109,True,True
140,Spasfon,2027-04,125.97,179.5,53.53,71,MA-BATCH-87969,INJECTION,AVAILABLE,646,189,260,False,181,True,True
141,Dafalgan 1g,2025-02,179.72,222.15,42.43,124,MA-BATCH-11435,DROPS,AVAILABLE,303,147,306,False,93,True,True
142,Doliprane 500mg,2025-10,123.51,149.08,25.57,104,MA-BATCH-30474,SYRUP,AVAILABLE,470,373,255,False,14,True,True
143,Aerius 5mg,2028-07,45.14,100.16,55.02,145,MA-BATCH-17706,SYRUP,AVAILABLE,625,386,460,False,10,True,True
144,Dafalgan 1g,2028-06,36.76,83.24,46.48,62,MA-BATCH-50414,TABLET,AVAILABLE,361,364,228,False,367,True,True
145,Rhinathiol,2028-06,141.08,160.15,19.07,20,MA-BATCH-46488,DROPS,AVAILABLE,17,249,410,False,433,True,True
146,Spasfon,2026-02,130.78,182.0,51.22,130,MA-BATCH-84705,INJECTION,AVAILABLE,511,255,531,False,199,True,True
147,Dafalgan 1g,2026-04,60.61,104.79,44.18,105,MA-BATCH-40254,INJECTION,AVAILABLE,40,391,413,False,423,True,True
148,Voltaren 50mg,2028-05,91.49,139.14,47.65,135,MA-BATCH-19658,SYRUP,AVAILABLE,382,596,318,False,300,True,True
149,Doliprane 1000mg,2026-12,149.74,207.97,58.23,44,MA-BATCH-43629,SYRUP,AVAILABLE,620,538,397,False,104,True,True
150,Paracetamol Cooper,2025-07,42.35,69.94,27.59,32,MA-BATCH-62186,TABLET,AVAILABLE,465,583,418,False,100,True,True
151,Spasfon,2026-04,46.21,70.17,23.96,39,MA-BATCH-82462,DROPS,AVAILABLE,489,410,528,False,247,True,True
152,Doliprane 1000mg,2027-07,132.17,161.97,29.8,47,MA-BATCH-49466,TABLET,AVAILABLE,253,261,538,False,98,True,True
153,Spasfon,2026-02,23.06,80.17,57.11,64,MA-BATCH-36233,CREAM,AVAILABLE,541,195,87,False,89,True,True
154,Smecta,2025-02,178.52,205.65,27.13,7,MA-BATCH-48992,TABLET,AVAILABLE,669,478,409,False,85,True,True
155,Magne B6,2027-12,153.61,198.45,44.84,17,MA-BATCH-96682,SYRUP,AVAILABLE,35,292,73,False,121,True,True
156,Dafalgan 1g,2028-06,64.59,70.51,5.92,132,MA-BATCH-93305,CREAM,AVAILABLE,482,136,34,False,312,True,True
157,Dafalgan 1g,2028-05,116.13,145.04,28.91,83,MA-BATCH-97441,DROPS,AVAILABLE,139,304,12,False,178,True,True
158,Dafalgan 1g,2025-09,117.48,161.5,44.02,38,MA-BATCH-40609,CAPSULE,AVAILABLE,238,32,497,False,228,True,True
159,Azix 500mg,2027-09,85.64,142.47,56.83,26,MA-BATCH-91322,INJECTION,AVAILABLE,129,583,35,False,342,True,True
160,Doliprane 500mg,2026-01,177.98,203.33,25.35,136,MA-BATCH-72109,DROPS,AVAILABLE,374,252,3,False,239,True,True
161,Spasfon,2028-10,116.59,144.09,27.5,134,MA-BATCH-72952,SYRUP,AVAILABLE,668,298,7,False,168,True,True
162,Aspegic 100mg,2027-02,55.9,112.57,56.67,125,MA-BATCH-31412,CAPSULE,AVAILABLE,231,75,199,False,256,True,True
163,Doliprane 1000mg,2025-01,123.98,146.35,22.37,103,MA-BATCH-75038,INJECTION,AVAILABLE,508,202,174,False,47,True,True
164,Doliprane 500mg,2026-07,96.89,155.28,58.39,15,MA-BATCH-85444,DROPS,AVAILABLE,184,47,151,False,365,True,True
165,Augmentin 1g,2025-10,70.03,109.24,39.21,149,MA-BATCH-77585,INJECTION,AVAILABLE,199,216,471,False,30,True,True
166,Aerius 5mg,2027-05,46.33,91.58,45.25,75,MA-BATCH-68792,CAPSULE,AVAILABLE,564,1,278,False,262,True,True
167,Rhinathiol,2028-03,86.16,115.58,29.42,136,MA-BATCH-39555,CAPSULE,AVAILABLE,68,6,482,False,221,True,True
168,Doliprane 1000mg,2028-11,68.02,115.78,47.76,18,MA-BATCH-83054,CAPSULE,AVAILABLE,92,495,245,False,346,True,True
169,Spasfon,2025-05,42.47,77.07,34.6,88,MA-BATCH-60269,SYRUP,AVAILABLE,262,38,76,False,295,True,True
170,Aspegic 100mg,2027-09,146.14,179.13,32.99,88,MA-BATCH-20361,DROPS,AVAILABLE,98,329,463,False,143,True,True
171,Voltaren 50mg,2027-04,59.76,108.8,49.04,100,MA-BATCH-97347,TABLET,AVAILABLE,408,49,504,False,430,True,True
172,Aspegic 100mg,2026-01,93.01,100.79,7.78,2,MA-BATCH-50826,CAPSULE,AVAILABLE,320,121,283,True,19,True,True
173,Doliprane 500mg,2026-03,179.09,197.77,18.68,139,MA-BATCH-80730,TABLET,AVAILABLE,215,603,392,False,211,True,True
174,Spasfon,2026-09,141.88,189.07,47.19,10,MA-BATCH-81301,CREAM,AVAILABLE,409,286,22,False,347,True,True
175,Dafalgan 1g,2028-06,88.39,123.12,34.73,38,MA-BATCH-89702,DROPS,AVAILABLE,347,93,392,False,154,True,True
176,Augmentin 1g,2026-12,129.19,173.2,44.01,52,MA-BATCH-54898,DROPS,AVAILABLE,428,136,205,False,38,True,True
177,Aerius 5mg,2027-05,168.87,207.14,38.27,119,MA-BATCH-12708,CREAM,AVAILABLE,520,55,443,False,259,True,True
178,Voltaren 50mg,2028-01,22.02,66.61,44.59,142,MA-BATCH-32044,TABLET,AVAILABLE,121,614,95,False,286,True,True
179,Doliprane 500mg,2026-02,153.45,203.68,50.23,72,MA-BATCH-36174,DROPS,AVAILABLE,149,400,388,False,61,True,True
180,Doliprane 1000mg,2027-09,30.88,65.42,34.54,141,MA-BATCH-54945,SYRUP,AVAILABLE,409,247,191,False,346,True,True
181,Ventoline 100mcg,2025-05,34.69,72.36,37.67,103,MA-BATCH-99619,DROPS,AVAILABLE,163,151,19,False,170,True,True
182,Smecta,2028-08,52.27,107.04,54.77,1,MA-BATCH-57626,DROPS,AVAILABLE,286,304,492,True,381,True,True
183,Azix 500mg,2026-11,130.21,178.66,48.45,136,MA-BATCH-35780,TABLET,AVAILABLE,455,66,297,False,209,True,True
184,Augmentin 1g,2027-12,138.07,188.33,50.26,146,MA-BATCH-85573,CAPSULE,AVAILABLE,432,498,397,False,218,True,True
185,Rhinathiol,2027-12,36.82,64.23,27.41,63,MA-BATCH-85526,INJECTION,AVAILABLE,3,373,238,False,16,True,True
186,Dafalgan 1g,2027-01,37.75,63.89,26.14,136,MA-BATCH-59017,INJECTION,AVAILABLE,569,460,7,False,120,True,True
187,Paracetamol Cooper,2027-01,164.63,198.06,33.43,12,MA-BATCH-40999,TABLET,AVAILABLE,406,406,245,False,232,True,True
188,Magne B6,2025-11,151.82,177.22,25.4,33,MA-BATCH-66221,CAPSULE,AVAILABLE,9,559,124,False,15,True,True
189,Rhinathiol,2026-01,156.83,194.1,37.27,30,MA-BATCH-41097,DROPS,AVAILABLE,30,147,374,False,79,True,True
190,Rhinathiol,2026-08,18.85,38.28,19.43,40,MA-BATCH-58631,CREAM,AVAILABLE,479,612,376,False,128,True,True
191,Doliprane 1000mg,2028-01,156.48,193.08,36.6,47,MA-BATCH-91694,DROPS,AVAILABLE,547,441,45,False,78,True,True
192,Spasfon,2027-11,157.4,187.89,30.49,126,MA-BATCH-43788,CAPSULE,AVAILABLE,646,605,141,False,32,True,True
193,Augmentin 1g,2027-06,67.64,113.73,46.09,72,MA-BATCH-77344,TABLET,AVAILABLE,128,571,17,False,332,True,True
194,Spasfon,2027-11,107.57,152.08,44.51,99,MA-BATCH-79388,SYRUP,AVAILABLE,291,290,339,False,213,True,True
195,Doliprane 500mg,2027-03,176.76,190.39,13.63,42,MA-BATCH-74660,CREAM,AVAILABLE,507,54,323,False,368,True,True
196,Aerius 5mg,2025-07,82.22,87.88,5.66,104,MA-BATCH-28289,CAPSULE,AVAILABLE,555,434,32,False,239,True,True
197,Doliprane 1000mg,2028-07,16.73,46.42,29.69,39,MA-BATCH-27181,SYRUP,AVAILABLE,362,65,375,False,268,True,True
198,Ventoline 100mcg,2025-02,75.25,84.16,8.91,50,MA-BATCH-40198,DROPS,AVAILABLE,651,93,434,False,264,True,True
199,Ventoline 100mcg,2027-09,148.48,170.86,22.38,13,MA-BATCH-84983,TABLET,AVAILABLE,383,133,184,False,140,True,True
200,Voltaren 50mg,2027-08,64.87,81.38,16.51,83,MA-BATCH-44779,TABLET,AVAILABLE,385,271,375,False,119,True,True
201,Aspegic 100mg,2025-06,31.02,80.66,49.64,119,MA-BATCH-70323,TABLET,AVAILABLE,587,82,538,False,336,True,True
202,Augmentin 1g,2028-10,109.97,136.85,26.88,76,MA-BATCH-66319,CAPSULE,AVAILABLE,398,127,241,False,109,True,True
