id,name,pharmacy_id,description,total,year_month_value,year
55,Impôt sur les Sociétés (IS),2,Declaration fiscale Trimestre 4,4257.21,2026-07,2026
56,Impôt sur les Sociétés (IS),112,Declaration fiscale Trimestre 1,7737.1,2026-02,2026
57,Taxe Professionnelle,295,Declaration fiscale Trimestre 1,3520.37,2026-03,2026
58,Taxe Professionnelle,382,Declaration fiscale Trimestre 1,1353.11,2026-12,2026
59,Taxe Professionnelle,184,Declaration fiscale Trimestre 2,13195.32,2026-03,2026
60,TVA (Taxe sur la Valeur Ajoutée),223,Declaration fiscale Trimestre 2,13909.97,2026-03,2026
61,Impôt sur les Sociétés (IS),520,Declaration fiscale Trimestre 1,4390.2,2026-09,2026
62,Taxe Services Communaux (TSC),240,Declaration fiscale Trimestre 3,736.09,2026-03,2026
63,TVA (Taxe sur la Valeur Ajoutée),276,Declaration fiscale Trimestre 1,6009.94,2026-03,2026
64,TVA (Taxe sur la Valeur Ajoutée),87,Declaration fiscale Trimestre 3,3510.23,2026-02,2026
65,TVA (Taxe sur la Valeur Ajoutée),1,Declaration fiscale Trimestre 3,9238.14,2026-03,2026
66,Impôt sur les Sociétés (IS),184,Declaration fiscale Trimestre 1,12016.55,2026-09,2026
67,Taxe Professionnelle,332,Declaration fiscale Trimestre 1,10733.11,2026-11,2026
68,Impôt sur les Sociétés (IS),126,Declaration fiscale Trimestre 4,14169.64,2026-10,2026
69,TVA (Taxe sur la Valeur Ajoutée),498,Declaration fiscale Trimestre 4,3775.0,2026-09,2026
70,TVA (Taxe sur la Valeur Ajoutée),106,Declaration fiscale Trimestre 1,5347.34,2026-11,2026
71,TVA (Taxe sur la Valeur Ajoutée),446,Declaration fiscale Trimestre 4,14992.46,2026-04,2026
72,Impôt sur les Sociétés (IS),113,Declaration fiscale Trimestre 1,14097.87,2026-02,2026
73,Cotisation Minimale,535,Declaration fiscale Trimestre 2,12264.05,2026-05,2026
74,Impôt sur les Sociétés (IS),357,Declaration fiscale Trimestre 4,14294.18,2026-07,2026
75,TVA (Taxe sur la Valeur Ajoutée),27,Declaration fiscale Trimestre 2,9551.78,2026-11,2026
76,Taxe Services Communaux (TSC),196,Declaration fiscale Trimestre 4,11547.04,2026-12,2026
77,Cotisation Minimale,210,Declaration fiscale Trimestre 4,2136.03,2026-03,2026
78,Taxe Professionnelle,53,Declaration fiscale Trimestre 3,5805.28,2026-11,2026
79,Taxe Services Communaux (TSC),97,Declaration fiscale Trimestre 4,6781.22,2026-07,2026
80,Taxe Professionnelle,476,Declaration fiscale Trimestre 3,12097.76,2026-02,2026
81,TVA (Taxe sur la Valeur Ajoutée),100,Declaration fiscale Trimestre 2,521.69,2026-12,2026
82,Taxe Services Communaux (TSC),134,Declaration fiscale Trimestre 3,12007.81,2026-10,2026
83,Taxe Professionnelle,317,Declaration fiscale Trimestre 4,12126.24,2026-04,2026
84,Taxe Professionnelle,17,Declaration fiscale Trimestre 4,8430.98,2026-08,2026
85,Cotisation Minimale,484,Declaration fiscale Trimestre 4,12446.4,2026-09,2026
86,Taxe Professionnelle,63,Declaration fiscale Trimestre 2,12324.65,2026-10,2026
87,Cotisation Minimale,353,Declaration fiscale Trimestre 3,867.49,2026-03,2026
88,Taxe Professionnelle,414,Declaration fiscale Trimestre 1,6542.78,2026-01,2026
89,Cotisation Minimale,262,Declaration fiscale Trimestre 3,10352.88,2026-07,2026
90,Impôt sur les Sociétés (IS),443,Declaration fiscale Trimestre 2,2656.26,2026-02,2026
91,Impôt sur les Sociétés (IS),531,Declaration fiscale Trimestre 1,9419.07,2026-09,2026
92,Taxe Services Communaux (TSC),14,Declaration fiscale Trimestre 3,5118.44,2026-01,2026
93,Cotisation Minimale,191,Declaration fiscale Trimestre 4,8329.47,2026-11,2026
94,Taxe Services Communaux (TSC),37,Declaration fiscale Trimestre 3,10023.38,2026-05,2026
95,Impôt sur les Sociétés (IS),473,Declaration fiscale Trimestre 1,12682.63,2026-07,2026
96,Cotisation Minimale,127,Declaration fiscale Trimestre 2,6123.13,2026-03,2026
97,TVA (Taxe sur la Valeur Ajoutée),322,Declaration fiscale Trimestre 2,3497.69,2026-09,2026
98,Taxe Professionnelle,197,Declaration fiscale Trimestre 3,12308.64,2026-06,2026
99,Cotisation Minimale,142,Declaration fiscale Trimestre 4,9100.13,2026-01,2026
100,Cotisation Minimale,202,Declaration fiscale Trimestre 2,1944.64,2026-09,2026
101,Taxe Professionnelle,52,Declaration fiscale Trimestre 3,10376.34,2026-12,2026
102,Impôt sur les Sociétés (IS),410,Declaration fiscale Trimestre 3,5202.72,2026-01,2026
103,TVA (Taxe sur la Valeur Ajoutée),194,Declaration fiscale Trimestre 3,3980.7,2026-09,2026
104,Cotisation Minimale,367,Declaration fiscale Trimestre 4,5475.58,2026-06,2026
105,Impôt sur les Sociétés (IS),81,Declaration fiscale Trimestre 4,11253.96,2026-10,2026
106,Taxe Professionnelle,354,Declaration fiscale Trimestre 1,3916.17,2026-12,2026
107,Impôt sur les Sociétés (IS),144,Declaration fiscale Trimestre 1,8975.76,2026-05,2026
108,Impôt sur les Sociétés (IS),375,Declaration fiscale Trimestre 3,14121.14,2026-05,2026
109,Taxe Professionnelle,539,Declaration fiscale Trimestre 2,1270.9,2026-02,2026
110,Taxe Services Communaux (TSC),292,Declaration fiscale Trimestre 3,13574.58,2026-02,2026
111,Taxe Professionnelle,526,Declaration fiscale Trimestre 2,2281.61,2026-03,2026
112,Cotisation Minimale,344,Declaration fiscale Trimestre 4,14848.91,2026-11,2026
113,Taxe Professionnelle,449,Declaration fiscale Trimestre 4,11173.05,2026-05,2026
114,Impôt sur les Sociétés (IS),329,Declaration fiscale Trimestre 3,543.99,2026-01,2026
115,Taxe Services Communaux (TSC),545,Declaration fiscale Trimestre 4,10710.37,2026-05,2026
116,Taxe Services Communaux (TSC),202,Declaration fiscale Trimestre 2,7692.37,2026-02,2026
117,TVA (Taxe sur la Valeur Ajoutée),345,Declaration fiscale Trimestre 2,5346.55,2026-02,2026
118,TVA (Taxe sur la Valeur Ajoutée),124,Declaration fiscale Trimestre 3,5840.91,2026-03,2026
119,TVA (Taxe sur la Valeur Ajoutée),86,Declaration fiscale Trimestre 4,14680.68,2026-04,2026
120,Impôt sur les Sociétés (IS),378,Declaration fiscale Trimestre 4,3496.81,2026-07,2026
121,Taxe Services Communaux (TSC),228,Declaration fiscale Trimestre 1,915.77,2026-11,2026
122,Impôt sur les Sociétés (IS),198,Declaration fiscale Trimestre 2,4932.24,2026-11,2026
123,TVA (Taxe sur la Valeur Ajoutée),357,Declaration fiscale Trimestre 4,12365.47,2026-01,2026
124,Taxe Services Communaux (TSC),374,Declaration fiscale Trimestre 3,10829.8,2026-01,2026
125,Impôt sur les Sociétés (IS),94,Declaration fiscale Trimestre 3,13989.36,2026-10,2026
126,Taxe Services Communaux (TSC),216,Declaration fiscale Trimestre 3,9361.62,2026-12,2026
127,Cotisation Minimale,200,Declaration fiscale Trimestre 4,12217.35,2026-03,2026
128,Taxe Services Communaux (TSC),469,Declaration fiscale Trimestre 3,10561.59,2026-06,2026
129,Taxe Services Communaux (TSC),126,Declaration fiscale Trimestre 4,13820.97,2026-11,2026
130,Taxe Services Communaux (TSC),403,Declaration fiscale Trimestre 3,13549.37,2026-06,2026
131,Impôt sur les Sociétés (IS),14,Declaration fiscale Trimestre 4,3346.88,2026-07,2026
132,Impôt sur les Sociétés (IS),349,Declaration fiscale Trimestre 4,1895.5,2026-07,2026
133,TVA (Taxe sur la Valeur Ajoutée),58,Declaration fiscale Trimestre 4,8641.3,2026-02,2026
134,Taxe Services Communaux (TSC),400,Declaration fiscale Trimestre 2,9313.86,2026-07,2026
135,Impôt sur les Sociétés (IS),417,Declaration fiscale Trimestre 2,3553.66,2026-03,2026
136,Taxe Professionnelle,434,Declaration fiscale Trimestre 2,7648.01,2026-05,2026
137,TVA (Taxe sur la Valeur Ajoutée),353,Declaration fiscale Trimestre 4,2947.36,2026-06,2026
138,Taxe Professionnelle,509,Declaration fiscale Trimestre 3,6770.89,2026-09,2026
139,Impôt sur les Sociétés (IS),71,Declaration fiscale Trimestre 4,11105.6,2026-11,2026
140,Taxe Professionnelle,425,Declaration fiscale Trimestre 1,1913.43,2026-04,2026
141,Cotisation Minimale,436,Declaration fiscale Trimestre 4,5869.89,2026-08,2026
142,TVA (Taxe sur la Valeur Ajoutée),377,Declaration fiscale Trimestre 2,4384.79,2026-11,2026
143,TVA (Taxe sur la Valeur Ajoutée),210,Declaration fiscale Trimestre 3,13977.11,2026-06,2026
144,TVA (Taxe sur la Valeur Ajoutée),439,Declaration fiscale Trimestre 3,13825.11,2026-12,2026
145,Cotisation Minimale,57,Declaration fiscale Trimestre 4,1814.65,2026-10,2026
146,Taxe Services Communaux (TSC),309,Declaration fiscale Trimestre 4,5770.7,2026-05,2026
147,Impôt sur les Sociétés (IS),463,Declaration fiscale Trimestre 4,4727.02,2026-09,2026
148,Taxe Professionnelle,385,Declaration fiscale Trimestre 2,9986.19,2026-01,2026
149,Taxe Professionnelle,442,Declaration fiscale Trimestre 4,2843.12,2026-05,2026
150,TVA (Taxe sur la Valeur Ajoutée),146,Declaration fiscale Trimestre 1,6960.31,2026-08,2026
151,Taxe Services Communaux (TSC),345,Declaration fiscale Trimestre 4,6397.89,2026-07,2026
152,Cotisation Minimale,58,Declaration fiscale Trimestre 4,13711.42,2026-04,2026
153,Taxe Services Communaux (TSC),163,Declaration fiscale Trimestre 4,10272.94,2026-01,2026
154,Taxe Professionnelle,424,Declaration fiscale Trimestre 3,10744.87,2026-03,2026
155,TVA (Taxe sur la Valeur Ajoutée),266,Declaration fiscale Trimestre 4,10534.97,2026-07,2026
156,Impôt sur les Sociétés (IS),481,Declaration fiscale Trimestre 1,6366.78,2026-07,2026
157,Taxe Professionnelle,162,Declaration fiscale Trimestre 4,1828.34,2026-01,2026
158,Taxe Professionnelle,201,Declaration fiscale Trimestre 3,12943.46,2026-12,2026
159,Impôt sur les Sociétés (IS),348,Declaration fiscale Trimestre 4,2779.56,2026-10,2026
160,Impôt sur les Sociétés (IS),90,Declaration fiscale Trimestre 4,6571.15,2026-12,2026
161,Taxe Professionnelle,433,Declaration fiscale Trimestre 1,4658.55,2026-09,2026
162,TVA (Taxe sur la Valeur Ajoutée),27,Declaration fiscale Trimestre 3,13790.71,2026-09,2026
163,Cotisation Minimale,73,Declaration fiscale Trimestre 2,3213.9,2026-08,2026
164,TVA (Taxe sur la Valeur Ajoutée),503,Declaration fiscale Trimestre 1,3472.16,2026-11,2026
165,TVA (Taxe sur la Valeur Ajoutée),360,Declaration fiscale Trimestre 4,11510.35,2026-04,2026
166,TVA (Taxe sur la Valeur Ajoutée),349,Declaration fiscale Trimestre 2,12405.85,2026-08,2026
167,TVA (Taxe sur la Valeur Ajoutée),546,Declaration fiscale Trimestre 3,1482.55,2026-11,2026
168,Taxe Professionnelle,395,Declaration fiscale Trimestre 1,6080.28,2026-09,2026
169,Taxe Professionnelle,315,Declaration fiscale Trimestre 3,6367.06,2026-07,2026
170,TVA (Taxe sur la Valeur Ajoutée),66,Declaration fiscale Trimestre 1,12668.14,2026-10,2026
171,Cotisation Minimale,452,Declaration fiscale Trimestre 3,8013.18,2026-01,2026
172,Cotisation Minimale,29,Declaration fiscale Trimestre 3,1013.88,2026-04,2026
173,Impôt sur les Sociétés (IS),101,Declaration fiscale Trimestre 4,1300.77,2026-05,2026
174,TVA (Taxe sur la Valeur Ajoutée),207,Declaration fiscale Trimestre 1,6081.11,2026-07,2026
175,Impôt sur les Sociétés (IS),539,Declaration fiscale Trimestre 3,3068.54,2026-06,2026
176,TVA (Taxe sur la Valeur Ajoutée),14,Declaration fiscale Trimestre 3,11819.09,2026-07,2026
177,Cotisation Minimale,7,Declaration fiscale Trimestre 3,12706.78,2026-01,2026
178,Impôt sur les Sociétés (IS),536,Declaration fiscale Trimestre 4,5531.23,2026-08,2026
179,Impôt sur les Sociétés (IS),55,Declaration fiscale Trimestre 2,4641.6,2026-12,2026
180,Taxe Professionnelle,514,Declaration fiscale Trimestre 4,1186.37,2026-10,2026
181,Cotisation Minimale,146,Declaration fiscale Trimestre 4,8607.57,2026-04,2026
182,Impôt sur les Sociétés (IS),289,Declaration fiscale Trimestre 3,10356.85,2026-04,2026
183,Cotisation Minimale,24,Declaration fiscale Trimestre 3,12921.27,2026-06,2026
184,Taxe Professionnelle,64,Declaration fiscale Trimestre 1,8953.45,2026-08,2026
185,Impôt sur les Sociétés (IS),136,Declaration fiscale Trimestre 4,1309.14,2026-10,2026
186,Impôt sur les Sociétés (IS),456,Declaration fiscale Trimestre 2,12483.96,2026-05,2026
187,Taxe Services Communaux (TSC),435,Declaration fiscale Trimestre 2,6631.46,2026-06,2026
188,Impôt sur les Sociétés (IS),114,Declaration fiscale Trimestre 2,7849.66,2026-01,2026
189,Taxe Services Communaux (TSC),201,Declaration fiscale Trimestre 4,9336.07,2026-02,2026
190,Taxe Professionnelle,92,Declaration fiscale Trimestre 4,3786.78,2026-07,2026
191,Cotisation Minimale,361,Declaration fiscale Trimestre 4,8353.53,2026-04,2026
192,Taxe Services Communaux (TSC),342,Declaration fiscale Trimestre 4,786.81,2026-04,2026
193,TVA (Taxe sur la Valeur Ajoutée),118,Declaration fiscale Trimestre 3,10214.63,2026-12,2026
194,Taxe Professionnelle,277,Declaration fiscale Trimestre 2,1968.16,2026-12,2026
195,Taxe Professionnelle,182,Declaration fiscale Trimestre 2,10958.64,2026-07,2026
196,Taxe Professionnelle,127,Declaration fiscale Trimestre 2,4075.87,2026-07,2026
197,Taxe Professionnelle,379,Declaration fiscale Trimestre 4,1508.85,2026-04,2026
198,TVA (Taxe sur la Valeur Ajoutée),331,Declaration fiscale Trimestre 4,4789.42,2026-03,2026
199,TVA (Taxe sur la Valeur Ajoutée),225,Declaration fiscale Trimestre 4,238.56,2026-03,2026
200,Taxe Professionnelle,544,Declaration fiscale Trimestre 4,11544.48,2026-09,2026
201,Cotisation Minimale,460,Declaration fiscale Trimestre 1,2301.92,2026-11,2026
202,Impôt sur les Sociétés (IS),412,Declaration fiscale Trimestre 3,12015.7,2026-05,2026
203,Taxe Professionnelle,123,Declaration fiscale Trimestre 1,7162.16,2026-06,2026
204,Cotisation Minimale,57,Declaration fiscale Trimestre 4,639.65,2026-11,2026
205,Cotisation Minimale,395,Declaration fiscale Trimestre 1,8327.4,2026-11,2026
206,Taxe Services Communaux (TSC),314,Declaration fiscale Trimestre 3,3571.81,2026-07,2026
207,Cotisation Minimale,232,Declaration fiscale Trimestre 3,5586.81,2026-06,2026
208,Taxe Services Communaux (TSC),73,Declaration fiscale Trimestre 4,10575.04,2026-11,2026
209,Impôt sur les Sociétés (IS),436,Declaration fiscale Trimestre 2,3839.09,2026-02,2026
210,Taxe Services Communaux (TSC),84,Declaration fiscale Trimestre 1,11305.19,2026-01,2026
211,TVA (Taxe sur la Valeur Ajoutée),249,Declaration fiscale Trimestre 2,3353.17,2026-11,2026
212,Taxe Professionnelle,23,Declaration fiscale Trimestre 2,13378.68,2026-03,2026
213,Taxe Professionnelle,438,Declaration fiscale Trimestre 3,6729.38,2026-08,2026
214,Cotisation Minimale,89,Declaration fiscale Trimestre 4,9000.77,2026-01,2026
215,Taxe Professionnelle,351,Declaration fiscale Trimestre 1,3267.43,2026-01,2026
216,Impôt sur les Sociétés (IS),132,Declaration fiscale Trimestre 1,6125.17,2026-12,2026
217,Cotisation Minimale,352,Declaration fiscale Trimestre 1,4263.38,2026-09,2026
218,Cotisation Minimale,339,Declaration fiscale Trimestre 1,9501.53,2026-05,2026
219,Taxe Services Communaux (TSC),539,Declaration fiscale Trimestre 2,8853.89,2026-11,2026
220,TVA (Taxe sur la Valeur Ajoutée),320,Declaration fiscale Trimestre 2,9570.42,2026-02,2026
221,Cotisation Minimale,355,Declaration fiscale Trimestre 4,3658.91,2026-08,2026
222,Impôt sur les Sociétés (IS),396,Declaration fiscale Trimestre 4,14062.27,2026-12,2026
223,Taxe Services Communaux (TSC),409,Declaration fiscale Trimestre 2,9312.98,2026-08,2026
224,TVA (Taxe sur la Valeur Ajoutée),500,Declaration fiscale Trimestre 2,7183.33,2026-01,2026
225,Cotisation Minimale,464,Declaration fiscale Trimestre 4,4501.4,2026-04,2026
226,Impôt sur les Sociétés (IS),238,Declaration fiscale Trimestre 3,449.53,2026-07,2026
227,Taxe Professionnelle,381,Declaration fiscale Trimestre 4,653.17,2026-09,2026
228,Impôt sur les Sociétés (IS),357,Declaration fiscale Trimestre 3,2623.87,2026-05,2026
229,Impôt sur les Sociétés (IS),525,Declaration fiscale Trimestre 4,9504.44,2026-04,2026
230,TVA (Taxe sur la Valeur Ajoutée),49,Declaration fiscale Trimestre 3,3654.41,2026-03,2026
231,TVA (Taxe sur la Valeur Ajoutée),357,Declaration fiscale Trimestre 3,10353.39,2026-09,2026
232,Cotisation Minimale,271,Declaration fiscale Trimestre 2,297.62,2026-08,2026
233,Cotisation Minimale,436,Declaration fiscale Trimestre 1,13672.97,2026-02,2026
234,Taxe Services Communaux (TSC),377,Declaration fiscale Trimestre 2,14996.35,2026-01,2026
235,Cotisation Minimale,370,Declaration fiscale Trimestre 4,6881.25,2026-04,2026
236,TVA (Taxe sur la Valeur Ajoutée),30,Declaration fiscale Trimestre 3,2884.38,2026-07,2026
237,Cotisation Minimale,528,Declaration fiscale Trimestre 2,9113.75,2026-01,2026
238,Impôt sur les Sociétés (IS),299,Declaration fiscale Trimestre 3,9552.43,2026-07,2026
239,Taxe Professionnelle,527,Declaration fiscale Trimestre 1,13741.12,2026-11,2026
240,Taxe Professionnelle,421,Declaration fiscale Trimestre 2,3926.27,2026-06,2026
241,TVA (Taxe sur la Valeur Ajoutée),397,Declaration fiscale Trimestre 4,7641.4,2026-11,2026
242,Taxe Services Communaux (TSC),64,Declaration fiscale Trimestre 3,9526.84,2026-05,2026
243,Impôt sur les Sociétés (IS),257,Declaration fiscale Trimestre 3,11850.49,2026-12,2026
244,Taxe Professionnelle,380,Declaration fiscale Trimestre 2,14176.41,2026-10,2026
245,TVA (Taxe sur la Valeur Ajoutée),294,Declaration fiscale Trimestre 1,8464.79,2026-10,2026
246,Impôt sur les Sociétés (IS),178,Declaration fiscale Trimestre 1,9832.18,2026-05,2026
247,Taxe Professionnelle,101,Declaration fiscale Trimestre 1,5329.19,2026-10,2026
248,Taxe Services Communaux (TSC),534,Declaration fiscale Trimestre 4,12151.98,2026-08,2026
249,Impôt sur les Sociétés (IS),390,Declaration fiscale Trimestre 1,8336.79,2026-12,2026
250,TVA (Taxe sur la Valeur Ajoutée),394,Declaration fiscale Trimestre 3,11051.59,2026-05,2026
251,Impôt sur les Sociétés (IS),107,Declaration fiscale Trimestre 4,13525.41,2026-02,2026
252,Taxe Services Communaux (TSC),320,Declaration fiscale Trimestre 1,642.66,2026-11,2026
253,Taxe Services Communaux (TSC),199,Declaration fiscale Trimestre 2,6291.14,2026-07,2026
254,Impôt sur les Sociétés (IS),434,Declaration fiscale Trimestre 2,13992.03,2026-03,2026
255,Taxe Professionnelle,349,Declaration fiscale Trimestre 4,8233.95,2026-01,2026
256,Impôt sur les Sociétés (IS),239,Declaration fiscale Trimestre 3,7312.17,2026-07,2026
257,Taxe Services Communaux (TSC),401,Declaration fiscale Trimestre 4,13542.46,2026-07,2026
258,TVA (Taxe sur la Valeur Ajoutée),225,Declaration fiscale Trimestre 2,13007.96,2026-07,2026
259,Taxe Professionnelle,284,Declaration fiscale Trimestre 3,8513.48,2026-02,2026
260,Impôt sur les Sociétés (IS),282,Declaration fiscale Trimestre 4,9246.72,2026-02,2026
261,Impôt sur les Sociétés (IS),272,Declaration fiscale Trimestre 1,8263.26,2026-09,2026
262,TVA (Taxe sur la Valeur Ajoutée),421,Declaration fiscale Trimestre 2,10419.79,2026-06,2026
263,Taxe Services Communaux (TSC),145,Declaration fiscale Trimestre 1,7763.49,2026-08,2026
264,Taxe Services Communaux (TSC),113,Declaration fiscale Trimestre 1,5730.97,2026-04,2026
265,TVA (Taxe sur la Valeur Ajoutée),169,Declaration fiscale Trimestre 2,3542.84,2026-07,2026
266,Cotisation Minimale,21,Declaration fiscale Trimestre 3,6796.41,2026-10,2026
267,Taxe Professionnelle,503,Declaration fiscale Trimestre 2,2107.66,2026-04,2026
268,Taxe Services Communaux (TSC),324,Declaration fiscale Trimestre 1,1718.77,2026-04,2026
269,Impôt sur les Sociétés (IS),400,Declaration fiscale Trimestre 4,14132.05,2026-03,2026
270,Impôt sur les Sociétés (IS),73,Declaration fiscale Trimestre 1,4172.42,2026-09,2026
271,Taxe Services Communaux (TSC),477,Declaration fiscale Trimestre 1,5880.76,2026-08,2026
272,Impôt sur les Sociétés (IS),204,Declaration fiscale Trimestre 1,8990.01,2026-02,2026
273,Taxe Professionnelle,476,Declaration fiscale Trimestre 4,13231.18,2026-07,2026
274,TVA (Taxe sur la Valeur Ajoutée),531,Declaration fiscale Trimestre 1,8576.84,2026-02,2026
275,Taxe Professionnelle,288,Declaration fiscale Trimestre 3,742.62,2026-09,2026
276,Taxe Services Communaux (TSC),47,Declaration fiscale Trimestre 2,5126.62,2026-03,2026
277,Cotisation Minimale,476,Declaration fiscale Trimestre 3,9585.69,2026-09,2026
278,Impôt sur les Sociétés (IS),313,Declaration fiscale Trimestre 1,12798.62,2026-04,2026
279,Impôt sur les Sociétés (IS),298,Declaration fiscale Trimestre 2,12738.78,2026-09,2026
280,Cotisation Minimale,372,Declaration fiscale Trimestre 3,13869.16,2026-05,2026
281,Cotisation Minimale,508,Declaration fiscale Trimestre 4,13905.64,2026-03,2026
282,Impôt sur les Sociétés (IS),444,Declaration fiscale Trimestre 4,4874.32,2026-11,2026
283,Taxe Services Communaux (TSC),419,Declaration fiscale Trimestre 1,4815.8,2026-09,2026
284,Taxe Professionnelle,134,Declaration fiscale Trimestre 3,12281.93,2026-06,2026
285,Taxe Professionnelle,501,Declaration fiscale Trimestre 2,2983.87,2026-04,2026
286,Taxe Services Communaux (TSC),311,Declaration fiscale Trimestre 1,7902.66,2026-03,2026
287,Impôt sur les Sociétés (IS),318,Declaration fiscale Trimestre 3,8518.1,2026-10,2026
288,Taxe Professionnelle,25,Declaration fiscale Trimestre 3,2279.02,2026-01,2026
289,Taxe Professionnelle,366,Declaration fiscale Trimestre 1,8661.39,2026-08,2026
290,TVA (Taxe sur la Valeur Ajoutée),324,Declaration fiscale Trimestre 4,14842.57,2026-03,2026
291,Taxe Services Communaux (TSC),264,Declaration fiscale Trimestre 3,10730.57,2026-09,2026
292,Cotisation Minimale,444,Declaration fiscale Trimestre 1,12123.83,2026-03,2026
