id,medicine_id,quantity,total,profit,cart_id,created_at
61,184,2,83.62,20.9,390,2026-01-12T17:55:45
62,220,2,108.98,27.24,78,2026-03-22T19:48:22
63,192,4,279.88,69.96,370,2026-11-28T08:56:10
64,91,2,69.04,17.26,448,2026-10-12T19:18:10
65,542,2,83.54,20.88,396,2026-11-01T09:47:48
66,86,4,311.88,77.96,114,2026-07-15T20:53:47
67,550,4,463.16,115.8,613,2026-03-11T09:21:12
68,520,4,534.84,133.72,174,2026-08-08T20:01:10
69,176,1,99.92,24.98,307,2026-08-22T20:59:21
70,214,1,56.78,14.2,690,2026-06-26T11:04:38
71,535,3,363.93,90.99,63,2026-01-15T13:50:20
72,3,5,268.65,67.15,328,2026-09-10T14:59:31
73,458,1,50.25,12.56,509,2026-07-15T17:31:03
74,752,1,92.69,23.17,744,2026-01-21T15:25:17
75,676,3,384.0,96.0,348,2026-06-11T19:57:00
76,87,4,549.44,137.36,453,2026-08-21T17:28:15
77,953,2,182.6,45.64,579,2026-02-28T19:35:58
78,242,2,42.82,10.7,111,2026-03-03T11:16:01
79,438,2,260.96,65.24,547,2026-02-20T17:02:23
80,31,2,118.74,29.68,411,2026-02-03T18:30:40
81,731,3,393.78,98.43,487,2026-12-03T15:03:42
82,403,3,270.9,67.71,451,2026-09-18T14:12:40
83,674,1,41.26,10.31,261,2026-08-24T18:38:01
84,316,3,271.77,67.95,83,2026-09-22T16:07:36
85,64,1,32.97,8.24,281,2026-12-14T15:50:44
86,412,4,308.28,77.08,73,2026-03-09T17:25:47
87,30,1,82.91,20.73,582,2026-02-15T14:19:21
88,77,4,532.4,133.08,478,2026-03-05T18:13:35
89,5,3,334.56,83.64,359,2026-05-15T16:55:10
90,451,4,421.72,105.44,331,2026-12-05T08:39:58
91,362,5,518.8,129.7,187,2026-09-19T16:30:50
92,242,3,336.42,84.12,511,2026-08-06T17:38:56
93,973,2,95.88,23.96,743,2026-12-16T18:40:01
94,168,3,71.7,17.91,628,2026-10-17T14:42:27
95,201,5,619.95,155.0,316,2026-05-18T12:17:08
96,694,4,209.2,52.28,571,2026-06-24T20:25:50
97,694,3,111.03,27.75,246,2026-09-24T16:26:42
98,465,4,166.32,41.56,160,2026-04-11T11:53:15
99,878,3,409.02,102.27,400,2026-01-28T09:26:27
100,200,2,110.24,27.56,61,2026-05-23T10:05:23
101,408,2,106.42,26.6,706,2026-03-28T14:13:25
102,176,5,461.8,115.45,187,2026-04-12T15:02:18
103,283,3,201.87,50.46,734,2026-12-21T12:13:17
104,893,3,424.26,106.05,87,2026-02-15T13:16:56
105,590,3,174.27,43.56,582,2026-08-21T12:10:48
106,833,1,102.13,25.53,545,2026-03-28T18:49:19
107,388,2,171.48,42.86,376,2026-03-20T09:07:58
108,418,3,353.46,88.35,658,2026-05-22T14:18:11
109,601,5,671.0,167.75,453,2026-05-15T19:13:20
110,220,5,501.9,125.45,508,2026-11-19T20:07:23
111,246,1,27.95,6.99,324,2026-05-12T18:04:51
112,542,2,262.72,65.68,492,2026-11-08T08:21:29
113,833,5,211.5,52.85,333,2026-02-01T19:32:05
114,144,3,217.77,54.45,308,2026-12-16T16:40:43
115,846,4,568.68,142.16,316,2026-12-02T18:04:58
116,276,4,86.88,21.72,431,2026-02-24T08:24:51
117,886,5,507.35,126.85,249,2026-05-20T09:56:51
118,151,1,87.45,21.86,503,2026-07-11T08:27:04
119,870,3,230.73,57.69,359,2026-02-04T10:20:00
120,143,2,61.16,15.28,46,2026-05-25T08:11:58
121,493,2,185.06,46.26,636,2026-09-08T18:08:07
122,948,2,55.62,13.9,401,2026-05-24T19:39:35
123,303,2,136.7,34.18,474,2026-07-20T17:52:40
124,771,4,342.72,85.68,268,2026-01-02T18:04:18
125,87,3,386.88,96.72,140,2026-07-01T18:30:14
126,863,4,168.2,42.04,723,2026-02-23T13:37:23
127,174,5,558.0,139.5,330,2026-08-11T18:30:44
128,448,2,272.8,68.2,502,2026-10-08T08:21:20
129,511,4,378.88,94.72,676,2026-07-15T14:01:30
130,320,1,25.25,6.31,601,2026-10-09T19:43:34
131,106,3,61.74,15.42,288,2026-10-02T11:21:51
132,445,1,133.69,33.42,544,2026-09-21T14:39:40
133,393,4,452.68,113.16,633,2026-04-12T12:43:29
134,929,4,88.88,22.2,498,2026-02-26T10:05:03
135,91,5,289.15,72.3,399,2026-11-05T14:19:53
136,672,3,416.79,104.19,540,2026-03-28T12:22:37
137,301,1,85.22,21.3,622,2026-06-13T13:15:21
138,162,3,309.96,77.49,482,2026-12-19T13:02:52
139,458,4,559.0,139.76,372,2026-08-08T15:56:55
140,259,5,628.05,157.0,745,2026-12-24T10:21:04
141,175,2,285.22,71.3,565,2026-07-15T20:37:54
142,656,1,30.7,7.67,504,2026-03-28T10:54:30
143,604,2,201.5,50.38,577,2026-06-06T11:50:39
144,407,4,212.48,53.12,599,2026-03-02T11:42:33
145,348,3,74.85,18.72,1,2026-09-09T20:05:21
146,585,1,142.37,35.59,290,2026-07-19T19:20:30
147,911,3,146.34,36.6,712,2026-02-23T11:43:38
148,892,4,275.08,68.76,254,2026-03-20T12:26:04
149,320,2,227.98,57.0,172,2026-05-02T16:22:09
150,23,4,491.12,122.8,210,2026-07-03T09:33:38
151,511,5,422.4,105.6,460,2026-09-06T18:24:57
152,358,5,680.5,170.1,194,2026-12-17T08:18:06
153,729,5,142.85,35.7,88,2026-01-08T11:53:47
154,823,2,55.9,13.98,383,2026-05-03T16:41:19
155,256,4,419.4,104.84,441,2026-11-06T18:01:40
156,620,2,62.66,15.66,483,2026-12-06T18:58:04
157,33,5,256.2,64.05,426,2026-12-24T14:31:29
158,802,4,316.56,79.16,427,2026-08-13T12:22:22
159,306,3,300.81,75.21,60,2026-05-17T09:39:21
160,826,3,138.81,34.71,740,2026-02-02T10:24:39
161,210,5,304.85,76.2,211,2026-01-18T17:46:48
162,139,2,219.7,54.92,194,2026-04-12T18:47:04
163,319,5,304.7,76.15,30,2026-01-05T14:16:01
164,443,2,248.08,62.02,433,2026-07-15T12:45:06
165,328,1,117.03,29.26,305,2026-09-16T14:10:06
166,955,4,578.76,144.68,576,2026-12-09T18:08:29
167,714,5,394.85,98.7,56,2026-10-10T08:27:36
168,336,4,557.48,139.36,354,2026-11-02T10:14:47
169,817,3,257.82,64.44,212,2026-08-25T09:10:23
170,560,2,179.62,44.9,544,2026-10-22T19:37:19
171,851,5,332.85,83.2,85,2026-11-24T13:39:37
172,69,5,279.6,69.9,404,2026-05-14T12:49:20
173,148,2,254.42,63.6,7,2026-05-03T13:10:19
174,894,2,294.36,73.6,539,2026-08-18T13:21:16
175,506,1,122.37,30.59,515,2026-08-20T18:22:48
176,47,1,136.13,34.03,309,2026-08-02T19:59:39
177,696,2,150.12,37.54,147,2026-01-24T10:58:32
178,715,1,27.45,6.86,708,2026-11-03T15:30:57
179,729,1,127.73,31.93,508,2026-05-23T14:02:43
180,255,1,73.77,18.44,227,2026-01-24T15:37:39
181,131,1,70.09,17.52,275,2026-08-11T10:31:22
182,296,2,226.56,56.64,729,2026-03-25T16:48:25
183,502,5,320.0,80.0,93,2026-11-02T14:58:56
184,401,5,708.1,177.05,72,2026-06-24T15:07:44
185,333,3,385.98,96.48,694,2026-02-28T14:26:35
186,597,3,442.35,110.58,580,2026-07-24T11:24:16
187,418,1,64.41,16.1,380,2026-02-23T14:07:55
188,929,1,48.48,12.12,602,2026-07-07T10:08:16
189,929,3,423.12,105.78,524,2026-06-13T17:25:04
190,608,2,61.2,15.3,149,2026-10-15T19:57:19
191,572,4,381.48,95.36,567,2026-09-16T17:48:52
192,520,5,743.75,185.95,203,2026-10-14T11:03:22
193,166,4,406.04,101.52,267,2026-07-19T10:11:48
194,356,5,575.65,143.9,433,2026-03-08T08:07:08
195,495,3,218.1,54.54,736,2026-02-16T14:13:06
196,772,5,158.8,39.7,515,2026-04-15T18:41:01
197,857,5,335.85,83.95,355,2026-07-01T14:50:09
198,178,2,43.14,10.78,194,2026-07-16T11:41:47
199,362,4,316.48,79.12,401,2026-03-25T17:33:19
200,820,1,20.24,5.06,306,2026-12-02T11:54:47
201,164,4,185.68,46.44,224,2026-05-25T16:11:45
202,456,3,397.29,99.33,391,2026-12-26T13:08:43
203,743,2,244.64,61.16,424,2026-02-18T16:44:48
204,155,1,145.49,36.37,554,2026-11-27T14:54:52
205,689,5,314.2,78.55,683,2026-03-22T09:35:21
206,205,1,112.32,28.08,97,2026-09-25T09:29:31
207,815,5,119.5,29.85,215,2026-07-13T14:14:25
208,667,5,297.4,74.35,180,2026-11-08T10:26:54
209,335,5,435.0,108.75,345,2026-04-07T18:31:39
210,51,2,213.64,53.4,616,2026-01-27T11:31:23
211,224,3,306.84,76.71,203,2026-11-07T10:45:16
212,758,3,109.2,27.3,706,2026-12-11T14:28:53
213,101,5,510.4,127.6,49,2026-01-12T14:32:29
214,569,1,79.29,19.82,69,2026-12-28T20:25:21
215,156,3,391.2,97.8,638,2026-09-20T09:32:22
216,164,5,721.55,180.4,244,2026-01-23T09:20:07
217,284,5,403.4,100.85,509,2026-05-19T09:15:25
218,744,1,73.07,18.27,361,2026-07-27T13:08:32
219,924,2,289.28,72.32,721,2026-02-27T17:41:20
220,673,3,336.3,84.06,578,2026-03-19T12:35:54
221,270,5,606.15,151.55,195,2026-12-28T13:29:30
222,854,4,529.0,132.24,79,2026-09-18T14:21:40
223,349,1,121.0,30.25,35,2026-12-12T17:22:46
224,410,4,348.08,87.0,146,2026-10-23T18:47:50
225,783,3,434.13,108.54,606,2026-07-26T08:59:07
226,594,3,93.9,23.49,653,2026-01-14T14:06:35
227,794,3,321.84,80.46,420,2026-12-17T15:34:02
228,959,4,150.64,37.64,685,2026-01-28T11:59:40
229,730,2,183.16,45.78,563,2026-02-06T08:48:58
230,592,5,377.5,94.4,489,2026-04-15T10:01:12
231,663,4,196.24,49.08,257,2026-07-12T14:30:00
232,472,1,95.31,23.83,714,2026-06-13T18:54:20
233,503,3,387.21,96.81,199,2026-08-16T08:20:16
234,401,4,184.64,46.16,250,2026-07-09T19:38:00
235,605,3,165.51,41.37,436,2026-12-08T19:42:03
236,774,3,261.81,65.46,515,2026-09-04T08:54:10
237,339,2,295.06,73.76,140,2026-07-27T14:08:20
238,279,4,484.24,121.08,50,2026-10-11T16:03:19
239,15,1,121.35,30.34,396,2026-06-20T20:29:49
240,751,1,25.32,6.33,73,2026-01-15T11:33:32
241,961,3,160.47,40.11,452,2026-11-10T19:31:18
242,250,4,471.68,117.92,238,2026-09-20T12:06:13
243,110,5,445.25,111.3,590,2026-08-03T16:14:09
244,112,2,289.36,72.34,359,2026-03-22T16:40:16
245,671,2,133.2,33.3,70,2026-02-19T18:02:12
246,774,3,294.45,73.62,15,2026-03-22T17:18:04
247,846,2,121.52,30.38,460,2026-12-22T11:48:49
248,143,2,185.04,46.26,727,2026-11-14T15:24:54
249,441,1,149.19,37.3,397,2026-12-17T17:20:57
250,858,1,136.25,34.06,318,2026-11-07T17:39:52
251,482,5,241.6,60.4,473,2026-05-22T19:41:12
252,22,5,164.95,41.25,202,2026-04-06T19:48:36
253,681,2,204.74,51.18,701,2026-12-01T10:24:48
254,392,2,172.54,43.14,5,2026-02-12T12:35:05
255,565,3,105.72,26.43,229,2026-02-27T15:32:26
256,58,3,230.7,57.69,460,2026-08-16T09:37:08
257,722,5,459.25,114.8,139,2026-04-02T10:33:28
258,328,4,220.32,55.08,367,2026-04-22T08:13:26
259,14,4,307.72,76.92,543,2026-02-20T18:10:17
260,778,5,406.9,101.7,180,2026-06-11T20:56:29
261,66,2,280.1,70.02,289,2026-08-09T19:23:06
262,712,3,183.39,45.84,464,2026-03-12T15:46:19
263,827,3,324.39,81.09,531,2026-06-05T19:26:41
264,864,5,472.75,118.2,50,2026-09-12T09:48:59
265,106,1,60.91,15.23,444,2026-04-26T11:34:55
266,353,1,61.57,15.39,439,2026-12-14T15:02:41
267,378,1,105.93,26.48,545,2026-10-18T11:32:47
268,215,1,131.73,32.93,229,2026-07-11T19:03:11
269,778,4,246.4,61.6,439,2026-04-21T12:47:47
270,922,3,206.97,51.75,705,2026-04-25T16:36:09
271,251,3,303.24,75.81,369,2026-05-25T13:28:03
272,348,1,61.18,15.29,346,2026-09-21T10:25:12
273,549,5,104.9,26.25,656,2026-03-09T18:47:55
274,930,2,160.64,40.16,387,2026-11-17T19:42:24
275,792,2,225.96,56.5,705,2026-10-15T19:16:30
276,428,2,287.7,71.92,221,2026-01-07T18:35:22
277,668,3,243.15,60.78,455,2026-07-17T09:36:55
278,194,1,123.55,30.89,159,2026-12-19T12:05:49
279,814,2,282.62,70.66,719,2026-03-17T20:44:00
280,888,4,176.44,44.12,247,2026-12-04T16:23:17
281,350,3,168.51,42.12,553,2026-06-18T16:56:59
282,939,2,62.24,15.56,4,2026-04-12T14:14:01
283,208,2,171.32,42.82,442,2026-04-11T18:19:55
284,628,1,60.09,15.02,458,2026-06-15T09:27:53
285,813,5,479.75,119.95,448,2026-02-07T10:49:47
286,813,3,83.28,20.82,428,2026-09-14T16:20:24
287,300,2,117.5,29.38,396,2026-11-22T16:52:55
288,966,5,213.65,53.4,21,2026-06-18T15:11:33
289,613,3,214.08,53.52,681,2026-07-07T09:25:12
290,250,1,130.75,32.69,301,2026-01-04T15:10:47
291,404,2,173.68,43.42,15,2026-04-23T14:19:38
292,51,5,636.5,159.1,291,2026-05-19T09:40:05
293,444,2,106.08,26.52,668,2026-11-02T11:06:03
294,731,1,70.46,17.61,241,2026-07-06T20:09:33
295,281,3,386.46,96.6,314,2026-05-25T08:34:40
296,340,4,399.96,100.0,388,2026-03-19T13:04:48
297,858,1,102.4,25.6,524,2026-09-14T09:02:24
298,749,4,468.68,117.16,676,2026-03-28T14:57:00
299,304,4,387.4,96.84,653,2026-08-09T17:42:21
300,205,5,639.05,159.75,640,2026-12-13T10:57:19
301,285,1,145.37,36.34,427,2026-11-16T16:34:18
302,328,4,534.28,133.56,227,2026-02-14T13:03:55
303,182,3,119.61,29.91,217,2026-06-09T19:16:54
304,856,1,79.92,19.98,70,2026-11-15T20:10:39
305,529,3,69.36,17.34,250,2026-06-21T19:01:53
306,436,4,311.16,77.8,259,2026-04-08T18:12:49
307,125,4,477.24,119.32,261,2026-10-25T13:22:16
308,754,1,42.19,10.55,566,2026-05-25T20:37:11
309,161,1,126.69,31.67,185,2026-06-26T18:11:03
310,522,5,658.7,164.7,697,2026-03-04T15:55:25
311,561,1,35.63,8.91,162,2026-10-14T10:21:02
312,872,3,356.1,89.04,489,2026-12-05T12:47:58
313,615,1,50.12,12.53,616,2026-04-02T11:52:44
314,769,2,135.0,33.76,173,2026-05-20T14:52:09
315,808,2,185.9,46.48,518,2026-05-02T20:58:59
316,972,2,165.28,41.32,403,2026-05-07T17:37:37
317,273,2,259.18,64.8,576,2026-12-17T08:12:14
318,27,5,367.1,91.8,261,2026-05-18T14:41:15
319,850,2,193.6,48.4,48,2026-01-11T08:48:53
320,279,5,655.7,163.9,677,2026-06-19T08:53:20
321,121,5,181.4,45.35,217,2026-08-06T09:03:39
322,54,4,211.64,52.92,264,2026-10-23T11:36:06
323,709,1,81.32,20.33,497,2026-12-01T08:12:45
324,263,3,213.84,53.46,696,2026-09-13T13:43:59
325,499,2,164.5,41.12,285,2026-07-13T08:28:08
326,225,4,276.8,69.2,60,2026-08-09T09:09:00
327,572,1,90.62,22.66,198,2026-09-20T11:32:40
328,158,3,387.69,96.93,136,2026-01-10T11:37:15
329,793,3,105.63,26.4,19,2026-07-20T20:45:21
330,495,4,274.2,68.56,707,2026-07-18T12:35:59
331,53,2,213.28,53.32,102,2026-04-13T15:33:04
332,471,3,118.29,29.58,664,2026-04-11T11:31:24
333,908,3,121.14,30.3,528,2026-10-08T08:13:39
334,782,3,153.72,38.43,376,2026-12-23T14:02:33
335,670,5,738.1,184.55,193,2026-10-26T16:53:29
336,901,2,115.48,28.88,31,2026-02-09T17:51:38
337,501,3,237.57,59.4,337,2026-12-16T11:43:55
338,670,4,525.24,131.32,38,2026-10-20T08:36:26
339,470,5,144.1,36.05,318,2026-07-28T13:36:30
340,969,4,201.16,50.28,395,2026-01-22T11:49:43
341,257,1,64.61,16.15,211,2026-09-28T19:37:06
342,945,1,87.46,21.86,21,2026-02-23T18:31:56
343,322,4,404.96,101.24,285,2026-01-16T19:58:10
344,825,1,136.72,34.18,515,2026-11-15T20:04:43
345,737,4,575.52,143.88,591,2026-07-11T16:29:11
346,238,4,208.56,52.16,72,2026-01-09T16:54:21
347,451,5,696.2,174.05,430,2026-02-05T14:20:51
348,489,2,182.8,45.7,69,2026-10-27T09:10:54
349,503,5,505.45,126.35,547,2026-11-06T12:36:43
350,597,1,101.19,25.3,415,2026-11-17T12:06:46
351,713,3,324.18,81.06,574,2026-06-07T15:45:14
352,64,3,143.67,35.91,427,2026-02-17T13:23:36
353,414,4,91.32,22.84,127,2026-10-27T12:16:35
354,728,1,55.23,13.81,313,2026-01-02T19:46:17
355,38,4,272.2,68.04,47,2026-04-25T09:03:46
356,433,3,437.91,109.47,42,2026-10-16T10:37:26
357,537,2,85.88,21.46,576,2026-12-26T12:09:29
358,947,2,233.08,58.28,265,2026-10-27T19:38:09
359,918,3,104.82,26.19,658,2026-12-07T20:26:26
360,647,3,446.79,111.69,457,2026-09-27T15:53:35
361,720,2,288.24,72.06,496,2026-01-27T19:20:12
362,602,2,132.2,33.04,732,2026-07-23T20:31:29
363,124,5,310.5,77.65,732,2026-01-25T18:06:30
364,297,2,222.16,55.54,264,2026-03-12T14:50:03
365,48,3,107.16,26.79,102,2026-11-13T15:29:22
366,152,4,483.72,120.92,1,2026-02-05T15:36:45
367,753,4,133.36,33.36,441,2026-12-11T08:26:55
368,816,3,129.6,32.4,714,2026-03-19T19:38:58
369,25,3,142.17,35.55,561,2026-08-24T14:29:25
370,139,2,260.52,65.12,449,2026-03-24T13:19:15
371,974,1,71.51,17.88,238,2026-06-17T12:26:17
372,908,4,145.56,36.4,429,2026-05-13T20:29:57
373,525,2,295.08,73.76,46,2026-07-20T08:25:44
374,930,1,61.64,15.41,720,2026-01-22T10:25:58
375,67,2,106.92,26.74,719,2026-04-03T10:09:50
376,790,1,126.02,31.5,730,2026-07-15T14:25:20
377,294,1,62.16,15.54,651,2026-05-06T18:41:07
378,709,4,588.48,147.12,285,2026-06-08T19:10:32
379,764,4,555.0,138.76,478,2026-06-18T09:15:33
380,33,3,236.7,59.19,192,2026-04-13T20:51:28
381,878,5,592.2,148.05,670,2026-05-12T13:53:23
382,137,4,137.32,34.32,123,2026-08-01T19:22:42
383,375,4,84.36,21.08,161,2026-01-18T14:34:31
384,911,3,172.83,43.2,130,2026-06-22T17:37:53
385,872,5,483.05,120.75,672,2026-06-18T14:38:09
386,896,4,208.2,52.04,442,2026-01-13T18:11:21
387,682,3,84.54,21.12,90,2026-10-28T20:28:44
388,975,3,89.46,22.38,600,2026-08-17T12:37:21
389,224,1,128.56,32.14,177,2026-04-09T20:55:16
390,827,3,266.67,66.66,21,2026-10-16T14:44:10
391,115,2,283.86,70.96,427,2026-07-09T18:24:04
392,328,2,284.02,71.0,442,2026-04-05T20:09:08
393,868,3,412.14,103.02,461,2026-12-22T16:06:00
394,110,3,265.92,66.48,111,2026-10-24T15:04:39
395,572,5,277.1,69.3,569,2026-04-15T20:50:19
396,568,1,125.23,31.31,412,2026-08-25T17:15:00
397,746,1,87.76,21.94,19,2026-09-18T20:37:38
398,894,1,62.86,15.71,671,2026-09-04T12:01:12
399,222,3,337.83,84.45,26,2026-01-18T19:07:44
400,740,1,64.08,16.02,728,2026-06-21T16:46:52
401,674,4,501.4,125.36,606,2026-11-06T09:49:15
402,71,1,73.42,18.36,425,2026-07-01T10:40:04
403,165,3,413.22,103.32,459,2026-05-05T16:07:09
404,723,3,280.74,70.17,195,2026-03-02T15:52:51
405,274,5,431.0,107.75,574,2026-10-23T19:20:38
406,77,2,141.08,35.28,593,2026-01-08T11:05:46
407,864,3,350.58,87.63,379,2026-11-12T15:45:57
408,893,1,118.67,29.67,401,2026-08-28T16:40:06
409,217,1,57.1,14.28,589,2026-01-10T11:59:32
410,584,4,231.16,57.8,103,2026-05-12T08:33:24
411,148,5,670.4,167.6,195,2026-03-28T11:01:30
412,152,3,408.39,102.09,566,2026-07-09T09:58:11
413,424,1,136.04,34.01,686,2026-06-16T12:20:34
414,407,1,85.52,21.38,14,2026-09-07T17:15:19
415,906,1,87.35,21.84,378,2026-11-27T12:53:09
416,692,4,347.76,86.92,362,2026-10-06T08:27:39
417,393,3,208.56,52.14,201,2026-06-22T17:26:51
418,146,4,306.52,76.64,168,2026-04-14T16:15:05
419,826,2,162.2,40.54,237,2026-02-18T11:39:47
420,622,3,436.44,109.11,651,2026-09-27T19:49:02
421,165,2,272.44,68.1,19,2026-08-16T09:43:01
422,431,2,186.64,46.66,372,2026-03-24T14:42:48
423,586,3,164.31,41.07,229,2026-11-07T12:06:56
424,860,3,331.65,82.92,637,2026-01-24T11:11:15
425,754,1,127.51,31.88,442,2026-08-28T17:40:03
426,910,4,299.44,74.84,499,2026-08-16T18:40:08
427,770,1,112.62,28.16,100,2026-11-28T08:18:00
428,565,2,172.42,43.1,253,2026-09-06T14:01:50
429,87,5,390.55,97.65,729,2026-10-25T13:41:14
430,193,3,115.56,28.89,333,2026-10-08T17:08:08
431,271,2,133.62,33.4,505,2026-08-25T10:29:29
432,259,3,233.91,58.47,348,2026-03-04T18:51:33
433,539,3,132.81,33.21,103,2026-09-10T14:02:14
434,729,4,178.6,44.64,236,2026-12-25T16:31:34
435,853,5,667.55,166.9,181,2026-12-26T18:18:29
436,340,5,601.7,150.45,253,2026-11-17T20:38:19
437,458,4,109.12,27.28,393,2026-11-19T10:33:21
438,248,2,207.76,51.94,56,2026-06-10T14:05:54
439,430,4,387.88,96.96,297,2026-12-15T18:28:33
440,681,1,87.58,21.89,584,2026-04-23T14:47:58
441,81,2,266.12,66.54,334,2026-11-11T20:37:08
442,722,1,34.92,8.73,574,2026-12-15T10:14:40
443,341,1,31.36,7.84,288,2026-04-16T15:36:27
444,141,4,430.84,107.72,518,2026-06-10T20:36:39
445,899,4,433.08,108.28,584,2026-12-16T16:40:40
446,158,2,45.28,11.32,564,2026-01-26T08:06:47
447,262,2,171.2,42.8,418,2026-10-02T14:11:20
448,88,3,250.5,62.64,601,2026-02-09T17:49:48
449,780,1,93.46,23.36,408,2026-02-21T19:50:42
450,824,1,106.29,26.57,9,2026-12-09T18:22:32
451,712,4,548.12,137.04,280,2026-11-06T15:54:43
452,922,3,401.85,100.47,738,2026-07-12T19:42:08
453,635,3,378.27,94.56,204,2026-06-04T15:07:37
454,476,2,233.16,58.28,66,2026-11-07T12:13:48
455,966,2,125.16,31.28,443,2026-06-22T15:43:30
456,510,4,190.6,47.64,740,2026-07-26T20:21:34
457,875,4,247.8,61.96,212,2026-01-10T19:41:37
458,449,5,159.9,40.0,2,2026-08-03T18:57:43
459,643,2,265.54,66.38,31,2026-02-22T17:38:02
460,493,3,448.62,112.14,403,2026-10-25T15:53:42
461,280,4,158.8,39.72,93,2026-02-25T10:18:49
462,236,3,212.13,53.04,513,2026-12-02T11:09:22
463,776,2,140.58,35.14,587,2026-12-05T13:20:34
464,457,4,334.6,83.64,328,2026-08-18T20:05:47
465,57,4,171.44,42.84,706,2026-11-20T12:51:29
466,862,4,219.36,54.84,744,2026-12-22T09:11:43
467,388,1,53.84,13.46,715,2026-11-13T18:59:15
468,110,5,356.65,89.15,452,2026-07-23T12:16:14
469,595,1,95.8,23.95,66,2026-07-13T11:01:03
470,668,4,184.44,46.12,149,2026-01-12T18:04:24
471,266,1,77.89,19.47,474,2026-05-27T16:06:05
472,210,3,358.41,89.61,201,2026-12-21T18:40:15
473,619,4,269.76,67.44,164,2026-11-06T20:51:38
474,325,5,587.05,146.75,402,2026-08-16T19:03:21
475,370,3,261.57,65.4,599,2026-08-03T10:44:37
476,943,5,349.7,87.4,616,2026-06-10T19:35:11
477,842,4,84.92,21.24,673,2026-10-08T11:49:44
478,846,1,47.58,11.89,132,2026-09-19T11:30:52
479,269,4,90.24,22.56,66,2026-07-25T16:54:34
480,295,1,66.76,16.69,494,2026-12-05T19:38:04
